"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 10:35:11 CEST 2022","Wed Jun 22 10:36:08 CEST 2022","56518","cardano_node_tests.tests","test_delegation","TestDelegateAddr","","","test_delegate_using_pool_id[build]","Submit registration certificate and delegate to pool using pool id.

        * register stake address and delegate it to pool
        * check that the stake address was delegated
        * (optional) check records in db-sync
        "
"passed","Wed Jun 22 10:24:15 CEST 2022","Wed Jun 22 10:24:20 CEST 2022","4936","cardano_node_tests.tests","test_plutus_spend_build","TestBuildLocking","","","test_two_scripts_spending[plutus_v2]","Test locking two Tx outputs with two different Plutus scripts in single Tx.

        Uses `cardano-cli transaction build` command for building the transactions.

        * create a Tx output with a datum hash at the script address
        * check that the expected amount was locked at the script address
        * spend the locked UTxO
        * check that the expected amount was spent
        * check expected fees
        * check expected Plutus cost
        * (optional) check transactions in db-sync
        "
"passed","Wed Jun 22 10:32:34 CEST 2022","Wed Jun 22 10:32:40 CEST 2022","5217","cardano_node_tests.tests","test_plutus_spend_raw","TestNegative","","","test_invalid_guessing_game[plutus_v1-43_43]","Test locking a Tx output with a Plutus script and spending the locked UTxO.

        Test with ""guessing game"" script that expects specific datum and redeemer value.
        Test negative scenarios where datum or redeemer value is different than expected.
        Expect failure.

        * create a Tx output with a datum hash at the script address
        * check that the expected amount was locked at the script address
        * try to spend the locked UTxO
        * check that the amount was not transferred and collateral UTxO was not spent
        "
"passed","Wed Jun 22 10:45:01 CEST 2022","Wed Jun 22 10:45:03 CEST 2022","2632","cardano_node_tests.tests","test_transactions","TestNegative","","","test_duplicated_tx","Try to send an identical transaction twice.

        Expect failure.
        "
"passed","Wed Jun 22 10:25:41 CEST 2022","Wed Jun 22 10:25:44 CEST 2022","3311","cardano_node_tests.tests","test_plutus_mint_raw","TestMinting","","","test_two_scripts_minting","Test minting two tokens with two different Plutus scripts.

        * fund the token issuer and create a UTxO for collaterals
        * check that the expected amount was transferred to token issuer's address
        * mint the tokens using two different Plutus scripts
        * check that the tokens were minted and collateral UTxOs were not spent
        * check transaction view output
        * (optional) check transactions in db-sync
        "
"passed","Wed Jun 22 10:39:08 CEST 2022","Wed Jun 22 10:39:08 CEST 2022","25","cardano_node_tests.tests","test_scripts","TestAuxiliaryScripts","","","test_tx_script_invalid[build]","Build transaction with invalid auxiliary script.

        Expect failure.
        "
"passed","Wed Jun 22 10:42:33 CEST 2022","Wed Jun 22 10:42:39 CEST 2022","6582","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[build-1500000]","Test 1 transaction from 1 payment address to 10 payment addresses.

        * send funds from 1 source address to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Wed Jun 22 10:19:40 CEST 2022","Wed Jun 22 10:19:52 CEST 2022","12399","cardano_node_tests.tests","test_delegation","TestDelegateAddr","","","test_addr_delegation_deregistration[build]","Submit delegation and deregistration certificates in single TX.

        * create stake address registration cert
        * create stake address deregistration cert
        * register stake address
        * create stake address delegation cert
        * delegate and deregister stake address in single TX
        * check that the balance for source address was correctly updated and that the key
          deposit was returned
        * check that the stake address was NOT delegated
        * (optional) check records in db-sync
        "
"passed","Wed Jun 22 10:43:10 CEST 2022","Wed Jun 22 10:43:15 CEST 2022","5208","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[build_raw-2000000]","Test 1 transaction from 1 payment address to 10 payment addresses.

        * send funds from 1 source address to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Wed Jun 22 10:22:06 CEST 2022","Wed Jun 22 10:22:16 CEST 2022","9826","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_bundle_minting_and_burning_witnesses[tokens_db2]","Test minting and burning multiple different tokens that are in single bundle.

        Sign the TX using witnesses.

        * mint several tokens using a single script
        * burn the minted tokens
        * check fees in Lovelace
        * (optional) check transactions in db-sync
        "
