"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 07 20:47:20 CET 2020","Mon Dec 07 20:47:25 CET 2020","4864","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[1]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Mon Dec 07 20:43:58 CET 2020","Mon Dec 07 20:44:03 CET 2020","5041","cardano_node_tests.tests","test_multisig","TestBasic","","","test_normal_tx_to_script_addr","Send funds to script address using TX signed with skeys (not using witness files)."
"passed","Mon Dec 07 20:47:16 CET 2020","Mon Dec 07 20:47:17 CET 2020","1787","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected3]","Test fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Mon Dec 07 20:49:18 CET 2020","Mon Dec 07 20:49:28 CET 2020","9995","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[1]","Test 1 transaction from 10 payment addresses to 1 payment address.

        * send funds from 10 source addresses to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Mon Dec 07 20:50:15 CET 2020","Mon Dec 07 20:50:25 CET 2020","9646","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_100_addrs_from_50_addrs[100]","Test 1 transaction from 50 payment addresses to 100 payment addresses.

        * send funds from 50 source addresses to 100 destination addresses
        * check expected balances for both source and destination addresses
        "
"skipped","Mon Dec 07 20:36:38 CET 2020","Mon Dec 07 20:36:38 CET 2020","0","cardano_node_tests.tests","test_configuration","TestBasic","","","test_slot_length","Test the *slotLength* configuration."
"passed","Mon Dec 07 20:47:06 CET 2020","Mon Dec 07 20:47:07 CET 2020","255","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee3]","Test stake address registration fees."
"passed","Mon Dec 07 20:47:25 CET 2020","Mon Dec 07 20:47:28 CET 2020","2642","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[10]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Mon Dec 07 21:30:38 CET 2020","Mon Dec 07 21:30:45 CET 2020","7504","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata","Create and register a stake pool with metadata.

        Check that pool was registered and stake address delegated.
        "
"passed","Mon Dec 07 20:47:10 CET 2020","Mon Dec 07 20:47:10 CET 2020","264","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected3]","Test fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Mon Dec 07 21:30:38 CET 2020","Mon Dec 07 21:30:38 CET 2020","302","cardano_node_tests.tests","test_multisig","TestBasic","","","test_script_addr_length","Check that script address length is the same as lenght of other addresses.

        There was an issue that script address was 32 bytes instead of 28 bytes.
        "
"passed","Mon Dec 07 20:46:13 CET 2020","Mon Dec 07 20:46:14 CET 2020","210","cardano_node_tests.tests","test_staking","TestNegative","","","test_deregister_not_registered_addr","Deregister not registered stake address."
"passed","Mon Dec 07 20:47:07 CET 2020","Mon Dec 07 20:47:07 CET 2020","83","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected0]","Test fees for 1 tx from 1 payment address to 1 payment address."
"passed","Mon Dec 07 20:44:44 CET 2020","Mon Dec 07 20:44:49 CET 2020","5213","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Try to create pool metadata hash when the *name* value is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Mon Dec 07 20:47:05 CET 2020","Mon Dec 07 20:47:05 CET 2020","176","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee0]","Test pool registration fees."
"passed","Mon Dec 07 20:50:43 CET 2020","Mon Dec 07 20:50:51 CET 2020","7567","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_wrong_balance","Build a transaction with unbalanced change (property-based test).

        * build a not balanced transaction
        * check that it is not possible to submit such transaction
        "
"passed","Mon Dec 07 20:44:44 CET 2020","Mon Dec 07 20:44:44 CET 2020","17","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_homepage","Try to create pool metadata hash when missing the *homepage* key.

        Expect failure.
        "
"passed","Mon Dec 07 20:47:09 CET 2020","Mon Dec 07 20:47:09 CET 2020","248","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected2]","Test fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Mon Dec 07 20:50:50 CET 2020","Mon Dec 07 20:50:50 CET 2020","137","cardano_node_tests.tests","test_transactions","TestNegative","","","test_past_ttl","Try to send a transaction with ttl in the past.

        Expect failure.
        "
"passed","Mon Dec 07 20:44:08 CET 2020","Mon Dec 07 20:46:44 CET 2020","155913","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[2]","Update stake pool metadata.

        * register pool
        * update the pool metadata by resubmitting the pool registration certificate
        * check that the pool metadata hash was correctly updated on chain
        "
"passed","Mon Dec 07 20:43:53 CET 2020","Mon Dec 07 20:44:23 CET 2020","30056","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_atleast","Send funds to and from script address using the *atLeast* script."
"passed","Mon Dec 07 20:50:50 CET 2020","Mon Dec 07 20:50:56 CET 2020","6074","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_chars_address","Try to send funds from payment address to address with invalid characters.

        Expect failure. Property-based test.
        "
"passed","Mon Dec 07 20:47:45 CET 2020","Mon Dec 07 20:47:49 CET 2020","4360","cardano_node_tests.tests","test_transactions","TestBasic","","","test_get_txid","Get transaction ID (txid) from transaction body.

        Transaction ID is a hash of transaction body and doesn't change for a signed TX.

        * send funds from 1 source address to 1 destination address
        * get txid from transaction body
        * check that txid has expected lenght
        * check that the txid is listed in UTXO hashes for both source and destination addresses
        "
"passed","Mon Dec 07 20:46:08 CET 2020","Mon Dec 07 20:46:08 CET 2020","18","cardano_node_tests.tests","test_staking","TestNegative","","","test_registration_cert_with_wrong_key","Try to generate stake address registration certificate using wrong stake vkey.

        Expect failure.
        "
"passed","Mon Dec 07 21:34:00 CET 2020","Mon Dec 07 21:34:06 CET 2020","5566","cardano_node_tests.tests","test_multisig","TestTimeLocking","","","test_after_past","Check that it's NOT possible to spend from the script address.

        The ""after"" slot is in the past.
        "
"passed","Mon Dec 07 20:50:55 CET 2020","Mon Dec 07 20:50:58 CET 2020","3921","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_chars_address","Try to send funds from address with invalid characters (property-based test).

        Expect failure.
        "
"passed","Mon Dec 07 20:43:33 CET 2020","Mon Dec 07 20:44:28 CET 2020","54900","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_any","Send funds using the *any* script.

        * send funds to script address
        * send funds from script address using single witness
        * send funds from script address using multiple witnesses
        "
"passed","Mon Dec 07 20:50:28 CET 2020","Mon Dec 07 20:50:36 CET 2020","7995","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[11000]","Test 1 transaction from 10 payment addresses to 10 payment addresses.

        * send funds from 10 source addresses to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Mon Dec 07 20:50:40 CET 2020","Mon Dec 07 20:50:40 CET 2020","105","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_negative_change","Try to build a transaction with a negative change.

        Check that it is not possible to built such transaction.
        "
"passed","Mon Dec 07 20:47:40 CET 2020","Mon Dec 07 20:47:45 CET 2020","4594","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_all_funds","Send ALL funds from one payment address to another.

        * send all available funds from 1 source address to 1 destination address
        * check expected balance for destination addresses
        * check that balance for source address is 0 Lovelace
        "
"passed","Mon Dec 07 20:50:25 CET 2020","Mon Dec 07 20:50:25 CET 2020","266","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee2]","Test pool registration fees."
"passed","Mon Dec 07 20:46:28 CET 2020","Mon Dec 07 20:46:33 CET 2020","5056","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000]","Send a transaction with fee that is same or higher than expected."
"passed","Mon Dec 07 20:51:03 CET 2020","Mon Dec 07 20:51:03 CET 2020","42","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_invalid_json_metadata","Try to build a transaction with invalid metadata JSON.

        The metadata file is an invalid JSON.
        "
"passed","Mon Dec 07 23:37:24 CET 2020","Mon Dec 07 23:37:24 CET 2020","46","cardano_node_tests.tests","test_multisig","TestAuxiliaryScripts","","","test_tx_script_invalid","Build transaction with invalid auxiliary script.

        Expect failure.
        "
"passed","Mon Dec 07 20:50:55 CET 2020","Mon Dec 07 20:50:55 CET 2020","43","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_reward_address","Try to send funds from payment address to stake address.

        Expect failure.
        "
"passed","Mon Dec 07 20:47:08 CET 2020","Mon Dec 07 20:47:08 CET 2020","84","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected2]","Test fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Mon Dec 07 20:47:07 CET 2020","Mon Dec 07 20:47:07 CET 2020","162","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee2]","Test stake address deregistration fees."
"passed","Mon Dec 07 20:53:55 CET 2020","Mon Dec 07 20:53:55 CET 2020","45","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_vrf","Try to generate pool registration certificate using wrong VRF key.

        Expect failure.
        "
"passed","Mon Dec 07 20:46:23 CET 2020","Mon Dec 07 20:46:23 CET 2020","175","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[2]","Try to send a transaction with smaller-than-expected fee.

        Expect failure.
        "
"passed","Mon Dec 07 20:46:44 CET 2020","Mon Dec 07 20:50:04 CET 2020","199916","cardano_node_tests.tests","test_pools","TestStakePool","","","test_sign_in_multiple_stages","Create and register a stake pool with TX signed in multiple stages.

        * create stake pool registration cert
        * create witness file for each signing key
        * sign TX using witness files
        * create and register pool
        * check that the pool was correctly registered on chain
        "
"passed","Mon Dec 07 20:47:05 CET 2020","Mon Dec 07 20:47:06 CET 2020","157","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee1]","Test pool deregistration fees."
"passed","Mon Dec 07 20:47:06 CET 2020","Mon Dec 07 20:47:06 CET 2020","179","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee2]","Test stake address registration fees."
"passed","Mon Dec 07 23:37:24 CET 2020","Mon Dec 07 23:37:29 CET 2020","4971","cardano_node_tests.tests","test_multisig","TestAuxiliaryScripts","","","test_tx_script_metadata_json","Send transaction with auxiliary script and metadata JSON.

        Check that the auxiliary script is present in the TX body.
        "
"passed","Mon Dec 07 20:43:29 CET 2020","Mon Dec 07 20:56:55 CET 2020","806617","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_deregister","Deregister stake address.

        * submit registration certificate and delegate to pool
        * attempt to deregister the stake address - deregistration is expected to fail
          because there are rewards in the stake address
        * withdraw rewards to payment address
        * deregister stake address
        * check that the key deposit was returned
        * check that the stake address is no longer delegated
        "
"passed","Mon Dec 07 20:50:56 CET 2020","Mon Dec 07 20:51:01 CET 2020","4757","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_length_address","Try to send funds from address with invalid length (property-based test).

        Expect failure.
        "
