"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 07 20:52:15 CET 2020","Mon Dec 07 20:52:19 CET 2020","3253","cardano_node_tests.tests","test_transactions","TestBasic","","","test_get_txid","Get transaction ID (txid) from transaction body.

        Transaction ID is a hash of transaction body and doesn't change for a signed TX.

        * send funds from 1 source address to 1 destination address
        * get txid from transaction body
        * check that txid has expected lenght
        * check that the txid is listed in UTXO hashes for both source and destination addresses
        "
"passed","Mon Dec 07 20:52:51 CET 2020","Mon Dec 07 20:52:59 CET 2020","7725","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[100]","Test 1 transaction from 10 payment addresses to 10 payment addresses.

        * send funds from 10 source addresses to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Mon Dec 07 20:53:46 CET 2020","Mon Dec 07 20:53:51 CET 2020","4555","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_both","Send transaction with both metadata JSON and CBOR.

        Check that the metadata in TX body matches the original metadata.
        "
"passed","Mon Dec 07 20:53:28 CET 2020","Mon Dec 07 20:53:31 CET 2020","3825","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_non_existent_address","Try to send funds from non-existent address (property-based test).

        Expect failure.
        "
"passed","Mon Dec 07 21:31:35 CET 2020","Mon Dec 07 21:31:44 CET 2020","9479","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata","Create and register a stake pool with metadata.

        Check that pool was registered and stake address delegated.
        "
"passed","Mon Dec 07 20:51:01 CET 2020","Mon Dec 07 20:51:01 CET 2020","209","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_missing_cold_skey","Try to register pool using transaction with missing Cold skey.

        Expect failure.
        "
"passed","Mon Dec 07 20:51:31 CET 2020","Mon Dec 07 20:51:44 CET 2020","13249","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_low_cost","Try to create and register a stake pool with pool cost lower than *minPoolCost*.

        Expect failure. Property-based test.
        "
"passed","Mon Dec 07 20:44:25 CET 2020","Mon Dec 07 21:38:08 CET 2020","3222490","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_unmet_pledge1","Check that the stake pool is not receiving rewards when pledge is not met.

        When the pledge is higher than available funds, neither pool owners nor those who
        delegate to that pool receive rewards.

        * delegate stake address
        * wait for first reward
        * increase the needed pledge amount - update the pool parameters by resubmitting the pool
          registration certificate - the funds are now lower than what is needed by the stake pool
        * check that NO new rewards were received by those delegating to the pool
        * check that pool owner is also NOT receiving rewards
        * return the pool to the original state - restore pledge settings
        * check that new rewards were received by those delegating to the pool
        * check that pool owner is also receiving rewards
        "
"passed","Mon Dec 07 20:51:57 CET 2020","Mon Dec 07 20:51:58 CET 2020","214","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected1]","Test fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Mon Dec 07 20:51:55 CET 2020","Mon Dec 07 20:51:55 CET 2020","151","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee2]","Test stake address registration fees."
"passed","Mon Dec 07 20:45:28 CET 2020","Mon Dec 07 20:45:36 CET 2020","7956","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[1]","Create and register a stake pool (without metadata).

        Check that pool was registered.
        "
"passed","Mon Dec 07 20:51:14 CET 2020","Mon Dec 07 20:51:14 CET 2020","15","cardano_node_tests.tests","test_staking","TestNegative","","","test_delegation_cert_with_wrong_key","Try to generate stake address delegation certificate using wrong stake vkey.

        Expect failure.
        "
"skipped","Mon Dec 07 23:21:20 CET 2020","Mon Dec 07 23:21:20 CET 2020","0","cardano_node_tests.tests","test_multisig","TestTimeLocking","","","test_after_past","Check that it's NOT possible to spend from the script address.

        The ""after"" slot is in the past.
        "
"skipped","Mon Dec 07 21:17:44 CET 2020","Mon Dec 07 21:17:44 CET 2020","0","cardano_node_tests.tests","test_kes","TestKES","","","test_expired_kes","Test expired KES."
"passed","Mon Dec 07 20:52:54 CET 2020","Mon Dec 07 20:53:04 CET 2020","10050","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[11000]","Test 1 transaction from 10 payment addresses to 10 payment addresses.

        * send funds from 10 source addresses to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Mon Dec 07 20:44:49 CET 2020","Mon Dec 07 20:47:44 CET 2020","175287","cardano_node_tests.tests","test_pools","TestStakePool","","","test_reregister_stake_pool","Reregister stake pool.

        * deregister stake pool
        * check that the stake addresses are no longer delegated
        * reregister the pool by resubmitting the pool registration certificate
        * delegate stake address to pool again (the address is already registered)
        * check that pool was correctly setup
        * check that the stake addresses were delegated
        "
"passed","Mon Dec 07 20:52:46 CET 2020","Mon Dec 07 20:52:54 CET 2020","7793","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[1]","Test 1 transaction from 1 payment address to 10 payment addresses.

        * send funds from 1 source address to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Mon Dec 07 20:44:34 CET 2020","Mon Dec 07 20:44:44 CET 2020","9294","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[3]","Create and register a stake pool (without metadata).

        Check that pool was registered.
        "
