"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 03 10:41:29 CEST 2021","Thu Jun 03 10:41:32 CEST 2021","2760","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_length_address","Try to send funds from address with invalid length (property-based test).

        Expect failure.
        "
"broken","Thu Jun 03 09:47:35 CEST 2021","Thu Jun 03 09:54:50 CEST 2021","435069","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata_not_avail","Create and register a stake pool with metadata file not available.

        Check that pool was registered and stake address delegated.
        "
"passed","Thu Jun 03 10:21:25 CEST 2021","Thu Jun 03 10:21:25 CEST 2021","72","cardano_node_tests.tests","test_cli","TestAddressInfo","","","test_address_info_script","Check script address info."
"passed","Thu Jun 03 10:00:43 CEST 2021","Thu Jun 03 10:00:43 CEST 2021","14","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_name","Try to create pool metadata hash when missing the *name* key.

        Expect failure.
        "
"broken","Thu Jun 03 09:57:13 CEST 2021","Thu Jun 03 09:57:13 CEST 2021","72","cardano_node_tests.tests","test_native_tokens","TestTransfer","","","test_transfer_tokens[100000]","Test sending tokens to payment address.

        * send tokens from 1 source address to 1 destination address
        * check expected token balances for both source and destination addresses
        * check fees in Lovelace
        "
"passed","Thu Jun 03 10:21:25 CEST 2021","Thu Jun 03 10:21:25 CEST 2021","29","cardano_node_tests.tests","test_scripts","TestAuxiliaryScripts","","","test_tx_script_invalid","Build transaction with invalid auxiliary script.

        Expect failure.
        "
"passed","Thu Jun 03 10:10:07 CEST 2021","Thu Jun 03 10:12:44 CEST 2021","157225","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_minting_and_partial_burning","Test minting and partial burning of tokens.

        * mint a token
        * burn part of the minted token, check the expected amount
        * check fees in Lovelace
        "
"passed","Thu Jun 03 10:23:35 CEST 2021","Thu Jun 03 10:25:22 CEST 2021","106940","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000]","Send a transaction with fee that is same or higher than expected."
"passed","Thu Jun 03 10:00:43 CEST 2021","Thu Jun 03 10:00:47 CEST 2021","4653","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Try to create pool metadata hash when the *name* value is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Thu Jun 03 10:41:38 CEST 2021","Thu Jun 03 10:41:38 CEST 2021","102","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_tx_in","Try to build a transaction with a missing `--tx-in` parameter.

        Expect failure.
        "
