"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 09 22:26:09 CET 2020","Wed Dec 09 22:26:17 CET 2020","7712","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_vkey","Submit registration certificate and delegate to pool using cold vkey.

        * register stake address and delegate it to pool
        * check that the stake address was delegated
        "
"passed","Wed Dec 09 23:02:07 CET 2020","Wed Dec 09 23:04:20 CET 2020","132487","cardano_node_tests.tests","test_pools","TestStakePool","","","test_deregister_stake_pool[1]","Deregister stake pool.

        * deregister stake pool
        * check that the stake addresses are no longer delegated
        * check that the pool deposit was returned to reward account
        "
"passed","Wed Dec 09 23:01:57 CET 2020","Wed Dec 09 23:02:07 CET 2020","10076","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_cost[500]","Create and register a stake pool with *pool cost* >= *minPoolCost*."
"passed","Wed Dec 09 23:04:24 CET 2020","Wed Dec 09 23:04:24 CET 2020","225","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_deregistration_not_registered","Try to deregister pool that is not registered.

        Expect failure.
        "
"passed","Wed Dec 09 22:00:07 CET 2020","Wed Dec 09 22:00:12 CET 2020","4827","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[100000]","Send a transaction with fee that is same or higher than expected."
"passed","Wed Dec 09 22:30:53 CET 2020","Wed Dec 09 22:30:58 CET 2020","5534","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_pool_id","Submit registration certificate and delegate to pool using pool id.

        * register stake address and delegate it to pool
        * check that the stake address was delegated
        "
"passed","Wed Dec 09 22:00:29 CET 2020","Wed Dec 09 22:00:29 CET 2020","310","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee2]","Test pool registration fees."
"passed","Wed Dec 09 23:01:52 CET 2020","Wed Dec 09 23:02:05 CET 2020","12661","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_cost[9999999]","Create and register a stake pool with *pool cost* >= *minPoolCost*."
"passed","Wed Dec 09 22:00:23 CET 2020","Wed Dec 09 22:00:23 CET 2020","137","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee1]","Test stake address deregistration fees."
"passed","Wed Dec 09 22:00:39 CET 2020","Wed Dec 09 22:00:44 CET 2020","5031","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[10]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed Dec 09 21:59:13 CET 2020","Wed Dec 09 21:59:17 CET 2020","3854","cardano_node_tests.tests","test_scripts","TestNegative","","","test_normal_tx_from_script_addr","Try to send funds from script address using TX signed with skeys.

        Sending funds from script address is expected to fail when not using witness files.
        "
"passed","Wed Dec 09 22:02:42 CET 2020","Wed Dec 09 22:02:47 CET 2020","4973","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_both","Send transaction with both metadata JSON and CBOR.

        Check that the metadata in TX body matches the original metadata.
        "
"passed","Wed Dec 09 22:41:39 CET 2020","Wed Dec 09 22:41:39 CET 2020","46","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_cold","Try to generate pool registration certificate using wrong Cold vkey.

        Expect failure.
        "
"passed","Wed Dec 09 21:59:32 CET 2020","Wed Dec 09 21:59:38 CET 2020","6048","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_after_future","Check that it's NOT possible to spend from the script address.

        The ""after"" slot is in the future and the given range is invalid.
        "
"passed","Wed Dec 09 22:51:32 CET 2020","Wed Dec 09 22:51:37 CET 2020","4993","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_addr_registration_deregistration","Submit registration and deregistration certificates in single TX.

        * create stake address registration cert
        * create stake address deregistration cert
        * register and deregister stake address in single TX
        * check that the balance for source address was correctly updated and that key deposit
          was not needed
        "
"passed","Wed Dec 09 21:58:06 CET 2020","Wed Dec 09 21:58:19 CET 2020","12358","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[3]","Create and register a stake pool (without metadata).

        Check that pool was registered.
        "
"passed","Wed Dec 09 22:02:14 CET 2020","Wed Dec 09 22:02:14 CET 2020","44","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_reward_address","Try to send funds from payment address to stake address.

        Expect failure.
        "
"passed","Wed Dec 09 22:02:09 CET 2020","Wed Dec 09 22:02:14 CET 2020","4997","cardano_node_tests.tests","test_transactions","TestNegative","","","test_duplicated_tx","Try to send an identical transaction twice.

        Expect failure.
        "
"passed","Wed Dec 09 22:01:27 CET 2020","Wed Dec 09 22:01:34 CET 2020","7724","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[100]","Test 1 transaction from 10 payment addresses to 10 payment addresses.

        * send funds from 10 source addresses to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Wed Dec 09 22:00:09 CET 2020","Wed Dec 09 22:00:14 CET 2020","4975","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[0]","Send a transaction with fee that is same or higher than expected."
"skipped","Wed Dec 09 21:47:31 CET 2020","Wed Dec 09 21:47:31 CET 2020","0","cardano_node_tests.tests","test_configuration","TestBasic","","","test_slot_length","Test the *slotLength* configuration."
"passed","Wed Dec 09 21:59:14 CET 2020","Wed Dec 09 21:59:22 CET 2020","7490","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_script_after","Check that it is possible to spend from script address after given slot."
"passed","Wed Dec 09 22:00:02 CET 2020","Wed Dec 09 22:00:02 CET 2020","83","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[0]","Try to send a transaction with smaller-than-expected fee.

        Expect failure.
        "
"passed","Wed Dec 09 22:02:25 CET 2020","Wed Dec 09 22:02:25 CET 2020","111","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_fee","Try to build a transaction with a missing `--fee` parameter.

        Expect failure.
        "
"passed","Wed Dec 09 21:57:49 CET 2020","Wed Dec 09 22:11:02 CET 2020","793610","cardano_node_tests.tests","test_pools","TestStakePool","","","test_cancel_stake_pool_deregistration","Reregister a stake pool that is in course of being retired.

        * deregister stake pool in epoch + 2
        * reregister the pool by resubmitting the pool registration certificate
        * delegate stake address to pool again (the address is already registered)
        * check that no additional pool deposit was used
        * check that pool is still correctly setup
        * check that the stake addresses is still delegated
        "
"passed","Wed Dec 09 22:48:14 CET 2020","Wed Dec 09 22:48:14 CET 2020","53","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_vrf","Try to generate pool registration certificate using wrong VRF key.

        Expect failure.
        "
"skipped","Wed Dec 09 21:47:31 CET 2020","Wed Dec 09 21:47:31 CET 2020","0","cardano_node_tests.tests","test_configuration","TestBasic","","","test_epoch_length","Test the *epochLength* configuration."
"passed","Wed Dec 09 21:58:02 CET 2020","Wed Dec 09 21:58:02 CET 2020","15","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_homepage","Try to create pool metadata hash when missing the *homepage* key.

        Expect failure.
        "
"passed","Wed Dec 09 23:02:05 CET 2020","Wed Dec 09 23:04:25 CET 2020","139536","cardano_node_tests.tests","test_pools","TestStakePool","","","test_deregister_stake_pool[3]","Deregister stake pool.

        * deregister stake pool
        * check that the stake addresses are no longer delegated
        * check that the pool deposit was returned to reward account
        "
"passed","Wed Dec 09 22:00:26 CET 2020","Wed Dec 09 22:00:26 CET 2020","222","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected2]","Test fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Wed Dec 09 22:02:25 CET 2020","Wed Dec 09 22:02:25 CET 2020","113","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_tx_out","Try to build a transaction with a missing `--tx-out` parameter.

        Expect failure.
        "
