"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Mar 23 10:50:54 CET 2021","Tue Mar 23 10:50:54 CET 2021","0","cardano_node_tests.tests","test_native_tokens","TestPolicies","","","test_valid_policy_after","Test minting and burning tokens after given slot."
"passed","Tue Mar 23 10:52:07 CET 2021","Tue Mar 23 10:52:07 CET 2021","216","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected2]","Test fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Tue Mar 23 11:02:14 CET 2021","Tue Mar 23 11:02:14 CET 2021","224","cardano_node_tests.tests","test_transactions","TestNegative","","","test_nonexistent_utxo_hash","Try to use nonexistent UTxO hash as an input.

        Expect failure.
        "
"passed","Tue Mar 23 10:51:31 CET 2021","Tue Mar 23 10:51:31 CET 2021","211","cardano_node_tests.tests","test_staking","TestNegative","","","test_register_addr_with_wrong_key","Try to register stake address using wrong payment skey.

        Expect failure.
        "
"passed","Tue Mar 23 11:29:34 CET 2021","Tue Mar 23 11:29:34 CET 2021","223","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_negative_change","Try to build a transaction with a negative change.

        Check that it is not possible to built such transaction.
        "
"passed","Tue Mar 23 10:52:05 CET 2021","Tue Mar 23 10:52:05 CET 2021","244","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee3]","Test stake address registration fees."
"passed","Tue Mar 23 10:52:04 CET 2021","Tue Mar 23 10:52:04 CET 2021","232","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee1]","Test pool registration fees."
"skipped","Tue Mar 23 10:52:30 CET 2021","Tue Mar 23 10:52:30 CET 2021","0","cardano_node_tests.tests","test_transactions","TestBasic","","","test_missing_ttl","Submit a transaction with a missing `--ttl` (`--invalid-hereafter`) parameter."
"skipped","Tue Mar 23 10:51:26 CET 2021","Tue Mar 23 10:51:26 CET 2021","0","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_after_past","Check that it's NOT possible to spend from the script address.

        The ""after"" slot is in the past.
        "
"skipped","Tue Mar 23 10:37:56 CET 2021","Tue Mar 23 10:37:56 CET 2021","0","cardano_node_tests.tests","test_native_tokens","TestNegative","","","test_long_name","Try to create token with asset name that is longer than allowed.

        The name can also contain characters that are not allowed. Expect failure.
        "
"passed","Tue Mar 23 10:52:06 CET 2021","Tue Mar 23 10:52:06 CET 2021","76","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected0]","Test fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Tue Mar 23 10:47:49 CET 2021","Tue Mar 23 10:47:50 CET 2021","240","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_deregistration_not_registered","Try to deregister pool that is not registered.

        Expect failure.
        "
"passed","Tue Mar 23 10:52:26 CET 2021","Tue Mar 23 10:52:30 CET 2021","4357","cardano_node_tests.tests","test_transactions","TestBasic","","","test_duplicate_signing_keys","Send a transaction with duplicate signing key.

        Check that it is possible to specify the same signing key twice.
        "
"skipped","Tue Mar 23 10:38:16 CET 2021","Tue Mar 23 10:38:16 CET 2021","0","cardano_node_tests.tests","test_native_tokens","TestPolicies","","","test_policy_before_past","Test that it's NOT possible to mint tokens when the ""before"" slot is in the past."
"skipped","Tue Mar 23 10:51:15 CET 2021","Tue Mar 23 10:51:15 CET 2021","0","cardano_node_tests.tests","test_native_tokens","TestPolicies","","","test_policy_after_past","Test that it's NOT possible to mint tokens.

        The ""after"" slot is in the past.
        "
"passed","Tue Mar 23 11:01:26 CET 2021","Tue Mar 23 11:01:26 CET 2021","200","cardano_node_tests.tests","test_transactions","TestNegative","","","test_past_ttl","Try to send a transaction with ttl in the past.

        Expect failure.
        "
"passed","Tue Mar 23 10:37:51 CET 2021","Tue Mar 23 11:06:11 CET 2021","1700096","cardano_node_tests.tests","test_staking","TestRewards","","","test_decreasing_reward_transfered_funds","Check that rewards are gradually decreasing when funds are being transfered.

        Even though nothing is staked and rewards are being transfered from reward address, there
        are still some funds staked on the reward address at the time ledger snapshot is taken. For
        that reason the reward amount received every epoch is gradually decreasing over the period
        of several epochs until it is finally 0.

        * delegate stake address
        * wait for first reward
        * transfer all funds from payment address back to faucet, so no funds are staked
        * keep withdrawing new rewards so reward balance is 0
        * check that reward amount is decreasing epoch after epoch
        "
"passed","Tue Mar 23 10:52:07 CET 2021","Tue Mar 23 10:52:07 CET 2021","136","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee1]","Test pool deregistration fees."
"skipped","Tue Mar 23 11:31:41 CET 2021","Tue Mar 23 11:31:41 CET 2021","0","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_multi_minting_and_burning_sign[5]","Test minting and burning multiple different tokens, sign the TX using skeys."
"passed","Tue Mar 23 10:52:51 CET 2021","Tue Mar 23 10:52:59 CET 2021","7597","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[11000]","Test 1 transaction from 1 payment address to 10 payment addresses.

        * send funds from 1 source address to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Tue Mar 23 11:02:13 CET 2021","Tue Mar 23 11:02:14 CET 2021","196","cardano_node_tests.tests","test_transactions","TestNegative","","","test_nonexistent_utxo_ix","Try to use nonexistent UTxO TxIx as an input.

        Expect failure.
        "
"passed","Tue Mar 23 11:02:34 CET 2021","Tue Mar 23 11:02:39 CET 2021","4919","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_both","Send transaction with both metadata JSON and CBOR.

        Check that the metadata in TX body matches the original metadata.
        "
"passed","Tue Mar 23 10:38:11 CET 2021","Tue Mar 23 10:38:34 CET 2021","23080","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata_not_avail","Create and register a stake pool with metadata file not available.

        Check that pool was registered and stake address delegated.
        "
"skipped","Tue Mar 23 12:09:51 CET 2021","Tue Mar 23 12:09:51 CET 2021","0","cardano_node_tests.tests","test_configuration","TestBasic","","","test_slot_length","Test the *slotLength* configuration."
"passed","Tue Mar 23 10:37:52 CET 2021","Tue Mar 23 11:28:09 CET 2021","3017560","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_deregistered_stake_addr","Check that the pool is not receiving rewards when owner's stake address is deregistered.

        When the owner's stake address is deregistered (i.e. owner's stake is lower than pledge),
        neither pool owners nor those who delegate to that pool receive rewards.

        * delegate stake address
        * wait for first reward
        * deregister stake address - owner's stake is lower than pledge
        * check that the key deposit was returned
        * check that NO new rewards were received by those delegating to the pool
        * check that pool owner is also NOT receiving rewards
        * return the pool to the original state - reregister stake address and
          delegate it to the pool
        * check that new rewards were received by those delegating to the pool
        * check that pool owner is also receiving rewards
        "
"skipped","Tue Mar 23 10:38:16 CET 2021","Tue Mar 23 10:38:16 CET 2021","0","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_minting_and_burning_witnesses","Test minting and burning of tokens, sign the transaction using witnesses."
"passed","Tue Mar 23 10:37:53 CET 2021","Tue Mar 23 10:51:14 CET 2021","800876","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_deregister","Deregister stake address.

        * submit registration certificate and delegate to pool
        * attempt to deregister the stake address - deregistration is expected to fail
          because there are rewards in the stake address
        * withdraw rewards to payment address
        * deregister stake address
        * check that the key deposit was returned
        * check that the stake address is no longer delegated
        "
"passed","Tue Mar 23 10:51:51 CET 2021","Tue Mar 23 10:51:53 CET 2021","1537","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000]","Send a transaction with fee that is same or higher than expected."
"passed","Tue Mar 23 10:41:07 CET 2021","Tue Mar 23 10:44:26 CET 2021","199600","cardano_node_tests.tests","test_pools","TestStakePool","","","test_deregister_stake_pool[3]","Deregister stake pool.

        * deregister stake pool
        * check that the stake addresses are no longer delegated
        * check that the pool deposit was returned to reward account
        "
"passed","Tue Mar 23 10:52:06 CET 2021","Tue Mar 23 10:52:06 CET 2021","78","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected3]","Test fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Tue Mar 23 10:50:59 CET 2021","Tue Mar 23 10:51:09 CET 2021","9940","cardano_node_tests.tests","test_scripts","TestBasic","","","test_multisig_no_required_atleast","Send funds from script address using the *atLeast* script with no required witnesses."
"passed","Tue Mar 23 10:47:50 CET 2021","Tue Mar 23 10:47:55 CET 2021","5499","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Try to create pool metadata hash when the *name* value is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Tue Mar 23 10:52:05 CET 2021","Tue Mar 23 10:52:05 CET 2021","127","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee1]","Test stake address deregistration fees."
"passed","Tue Mar 23 11:01:49 CET 2021","Tue Mar 23 11:01:58 CET 2021","8943","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_chars_address","Try to send funds from payment address to address with invalid characters.

        Expect failure. Property-based test.
        "
"passed","Tue Mar 23 11:17:37 CET 2021","Tue Mar 23 11:17:52 CET 2021","14932","cardano_node_tests.tests","test_ledger_state","TestLedgerState","","","test_ledger_state_keys","Check output of `query ledger-state`."
"passed","Tue Mar 23 10:49:43 CET 2021","Tue Mar 23 10:49:51 CET 2021","8349","cardano_node_tests.tests","test_scripts","TestBasic","","","test_multisig_all","Send funds to and from script address using the *all* script."
"passed","Tue Mar 23 10:52:05 CET 2021","Tue Mar 23 10:52:05 CET 2021","156","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee2]","Test stake address registration fees."
"skipped","Tue Mar 23 10:38:11 CET 2021","Tue Mar 23 10:38:11 CET 2021","0","cardano_node_tests.tests","test_native_tokens","TestPolicies","","","test_policy_before_future","Test that it's NOT possible to mint tokens.

        The ""before"" slot is in the future and the given range is invalid.
        "
"passed","Tue Mar 23 11:06:12 CET 2021","Tue Mar 23 11:06:21 CET 2021","9620","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_pool_id","Submit registration certificate and delegate to pool using pool id.

        * register stake address and delegate it to pool
        * check that the stake address was delegated
        "
"skipped","Tue Mar 23 10:51:26 CET 2021","Tue Mar 23 10:51:26 CET 2021","0","cardano_node_tests.tests","test_scripts","TestAuxiliaryScripts","","","test_tx_script_metadata_json","Send transaction with auxiliary script and metadata JSON.

        Check that the auxiliary script is present in the TX body.
        "
"passed","Tue Mar 23 10:57:46 CET 2021","Tue Mar 23 11:01:09 CET 2021","202559","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_parameters[1]","Update stake pool parameters.

        * register pool
        * update the pool parameters by resubmitting the pool registration certificate
        * check that the pool parameters were correctly updated on chain
        "
"passed","Tue Mar 23 10:38:01 CET 2021","Tue Mar 23 10:38:16 CET 2021","14619","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_low_cost","Try to create and register a stake pool with pool cost lower than *minPoolCost*.

        Expect failure. Property-based test.
        "
"passed","Tue Mar 23 10:52:21 CET 2021","Tue Mar 23 10:52:26 CET 2021","5006","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[2000]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Tue Mar 23 11:02:26 CET 2021","Tue Mar 23 11:02:31 CET 2021","4678","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_json","Send transaction with metadata JSON.

        Check that the metadata in TX body matches the original metadata.
        "
"passed","Tue Mar 23 10:37:56 CET 2021","Tue Mar 23 11:28:09 CET 2021","3013207","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_deregistered_reward_addr","Check that the reward address is not receiving rewards when deregistered.

        The stake pool continues to operate normally and those who delegate to that pool receive
        rewards.

        * delegate stake address
        * wait for first reward
        * withdraw pool rewards to payment address
        * deregister the pool reward address
        * check that the key deposit was returned
        * check that pool owner is NOT receiving rewards
        * check that new rewards are received by those delegating to the pool
        * return the pool to the original state - reregister reward address
        * check that pool owner is receiving rewards
        "
"passed","Tue Mar 23 11:01:32 CET 2021","Tue Mar 23 11:01:40 CET 2021","8348","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_non_existent_address","Try to send funds from payment address to non-existent address (property-based test).

        Expect failure.
        "
"skipped","Tue Mar 23 10:27:33 CET 2021","Tue Mar 23 10:27:33 CET 2021","0","cardano_node_tests.tests","test_staking","TestRewards","","","test_reward_simple","Check that the stake address and pool owner are receiving rewards.

        * delegate to pool
        * wait for rewards for pool owner and pool users for up to 6 epochs
        * withdraw rewards to payment address
        "
"skipped","Tue Mar 23 10:51:26 CET 2021","Tue Mar 23 10:51:26 CET 2021","0","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_before_past","Check that it's NOT possible to spend from the script address.

        The ""before"" slot is in the past.
        "
