"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 08 10:47:38 CEST 2021","Thu Apr 08 10:47:38 CEST 2021","173","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[2]","Try to send a transaction with smaller-than-expected fee.

        Expect failure.
        "
"passed","Thu Apr 08 10:48:29 CEST 2021","Thu Apr 08 10:48:29 CEST 2021","235","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected0]","Test fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Thu Apr 08 11:00:22 CEST 2021","Thu Apr 08 11:00:28 CEST 2021","6000","cardano_node_tests.tests","test_transactions","TestNegative","","","test_invalid_lenght_utxo_hash","Try to use invalid UTxO hash as an input (property-based test).

        Expect failure.
        "
"skipped","Thu Apr 08 10:32:04 CEST 2021","Thu Apr 08 10:32:04 CEST 2021","0","cardano_node_tests.tests","test_native_tokens","TestPolicies","","","test_valid_policy_after","Test minting and burning tokens after given slot."
"passed","Thu Apr 08 10:48:46 CEST 2021","Thu Apr 08 10:48:48 CEST 2021","2433","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[200]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Thu Apr 08 10:47:26 CEST 2021","Thu Apr 08 10:47:27 CEST 2021","229","cardano_node_tests.tests","test_staking","TestNegative","","","test_delegate_unregistered_addr","Try to delegate unregistered stake address.

        Expect failure.
        "
"passed","Thu Apr 08 10:42:58 CEST 2021","Thu Apr 08 10:42:58 CEST 2021","15","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_description","Try to create pool metadata hash when missing the *description* key.

        Expect failure.
        "
"passed","Thu Apr 08 10:47:01 CEST 2021","Thu Apr 08 10:47:10 CEST 2021","8905","cardano_node_tests.tests","test_scripts","TestNegative","","","test_multisig_all_missing_skey","Try to send funds from script address using the *all* script, omit one skey.

        Expect failure.
        "
"skipped","Thu Apr 08 11:26:05 CEST 2021","Thu Apr 08 11:26:05 CEST 2021","0","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_minting_and_partial_burning","Test minting and partial burning of tokens."
"passed","Thu Apr 08 10:47:45 CEST 2021","Thu Apr 08 10:47:48 CEST 2021","2888","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000]","Send a transaction with fee that is same or higher than expected."
"skipped","Thu Apr 08 10:58:34 CEST 2021","Thu Apr 08 10:58:34 CEST 2021","0","cardano_node_tests.tests","test_native_tokens","TestPolicies","","","test_policy_before_past","Test that it's NOT possible to mint tokens when the ""before"" slot is in the past."
"skipped","Thu Apr 08 10:44:46 CEST 2021","Thu Apr 08 10:44:46 CEST 2021","0","cardano_node_tests.tests","test_protocol","TestProtocol","","","test_protocol_params","Check output of `query protocol-parameters`."
"skipped","Thu Apr 08 10:47:20 CEST 2021","Thu Apr 08 10:47:20 CEST 2021","0","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_before_past","Check that it's NOT possible to spend from the script address.

        The ""before"" slot is in the past.
        "
"passed","Thu Apr 08 10:47:56 CEST 2021","Thu Apr 08 10:48:04 CEST 2021","8348","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000000]","Send a transaction with fee that is same or higher than expected."
"passed","Thu Apr 08 10:47:10 CEST 2021","Thu Apr 08 10:47:16 CEST 2021","6129","cardano_node_tests.tests","test_scripts","TestNegative","","","test_multisig_any_unlisted_skey","Try to send funds from script address using the *any* script with unlisted skey.

        Expect failure.
        "
"skipped","Thu Apr 08 10:55:42 CEST 2021","Thu Apr 08 10:55:42 CEST 2021","0","cardano_node_tests.tests","test_native_tokens","TestTransfer","","","test_transfer_tokens[1]","Test sending tokens to payment address.

        * send tokens from 1 source address to 1 destination address
        * check expected token balances for both source and destination addresses
        * check fees in Lovelace
        "
"passed","Thu Apr 08 10:47:22 CEST 2021","Thu Apr 08 10:47:23 CEST 2021","218","cardano_node_tests.tests","test_staking","TestNegative","","","test_register_addr_with_wrong_key","Try to register stake address using wrong payment skey.

        Expect failure.
        "
"passed","Thu Apr 08 10:48:53 CEST 2021","Thu Apr 08 10:59:23 CEST 2021","630275","cardano_node_tests.tests","test_pools","TestStakePool","","","test_pool_registration_deregistration","Send both pool registration and deregistration certificates in single TX.

        * create pool registration cert
        * create pool deregistration cert
        * register and deregister stake pool in single TX
        * check that the pool deposit was NOT returned to reward account as the reward address
          is not registered (deposit is lost)
        "
"passed","Thu Apr 08 10:45:35 CEST 2021","Thu Apr 08 10:48:51 CEST 2021","196095","cardano_node_tests.tests","test_pools","TestStakePool","","","test_deregister_stake_pool[3]","Deregister stake pool.

        * deregister stake pool
        * check that the stake addresses are no longer delegated
        * check that the pool deposit was returned to reward account
        "
