"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 21 17:37:02 CEST 2020","Mon Sep 21 17:40:13 CEST 2020","190693","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_parameters[2]","Update stake pool parameters."
"passed","Mon Sep 21 17:47:17 CEST 2020","Mon Sep 21 17:47:17 CEST 2020","52","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_stake","Generate pool registration certificate using wrong stake key."
"passed","Mon Sep 21 17:48:04 CEST 2020","Mon Sep 21 17:48:09 CEST 2020","4877","cardano_node_tests.tests","test_transactions","TestNegative","","","test_extra_signing_keys","Send a transaction with extra signing key."
"passed","Mon Sep 21 17:41:54 CEST 2020","Mon Sep 21 17:41:54 CEST 2020","160","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee1]","Test pool deregistration fees."
"passed","Mon Sep 21 17:43:54 CEST 2020","Mon Sep 21 17:43:54 CEST 2020","87","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected0]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Mon Sep 21 17:41:27 CEST 2020","Mon Sep 21 17:41:32 CEST 2020","5127","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000000]","Send a transaction fee that is same or higher than expected."
"passed","Mon Sep 21 17:37:32 CEST 2020","Mon Sep 21 17:40:13 CEST 2020","161328","cardano_node_tests.tests","test_pools","TestStakePool","","","test_sign_in_multiple_stages","Create and register a stake pool with TX signed in multiple stages."
"passed","Mon Sep 21 17:37:32 CEST 2020","Mon Sep 21 17:37:32 CEST 2020","50","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_vrf","Generate pool registration certificate using wrong VRF key."
"passed","Mon Sep 21 17:47:42 CEST 2020","Mon Sep 21 17:47:42 CEST 2020","160","cardano_node_tests.tests","test_transactions","TestNegative","","","test_past_ttl","Send a transaction with ttl in the past."
"passed","Mon Sep 21 17:49:04 CEST 2020","Mon Sep 21 17:49:04 CEST 2020","58","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_wrong_json_metadata_format","Build transaction with wrong fromat of metadata JSON."
"passed","Mon Sep 21 17:40:37 CEST 2020","Mon Sep 21 17:41:30 CEST 2020","53457","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_description","Test pool metadata with the 'description' value longer than allowed."
"passed","Mon Sep 21 17:49:14 CEST 2020","Mon Sep 21 17:49:14 CEST 2020","133","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_fee","Build a transaction with a missing `--fee` parameter."
"passed","Mon Sep 21 17:41:18 CEST 2020","Mon Sep 21 17:41:18 CEST 2020","246","cardano_node_tests.tests","test_staking","TestNegative","","","test_unregister_not_registered_addr","Unregistered not registered stake address."
"passed","Mon Sep 21 17:44:54 CEST 2020","Mon Sep 21 17:44:54 CEST 2020","254","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected3]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Mon Sep 21 17:45:29 CEST 2020","Mon Sep 21 17:45:31 CEST 2020","2072","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected3]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Mon Sep 21 17:48:52 CEST 2020","Mon Sep 21 17:48:52 CEST 2020","149","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_tx_in","Build a transaction with a missing `--tx-in` parameter."
"passed","Mon Sep 21 17:48:47 CEST 2020","Mon Sep 21 17:48:52 CEST 2020","5132","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_chars_address","Send funds from address with invalid characters."
"passed","Mon Sep 21 17:40:57 CEST 2020","Mon Sep 21 17:40:57 CEST 2020","208","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[1.5]","Send a transaction with smaller-than-expected fee."
"passed","Mon Sep 21 17:43:24 CEST 2020","Mon Sep 21 17:43:24 CEST 2020","180","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee2]","Test stake address deregistration fees."
"passed","Mon Sep 21 17:48:54 CEST 2020","Mon Sep 21 17:49:01 CEST 2020","6628","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_non_existent_address","Send funds from payment address to non-existent address."
"passed","Mon Sep 21 19:44:50 CEST 2020","Mon Sep 21 19:44:56 CEST 2020","6653","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_negative_fee","Send a transaction with negative fee."
"passed","Mon Sep 21 17:44:34 CEST 2020","Mon Sep 21 17:44:34 CEST 2020","243","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected2]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Mon Sep 21 18:04:07 CEST 2020","Mon Sep 21 20:38:05 CEST 2020","9238001","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_unmet_pledge","Check that the stake pool is not receiving rewards when pledge is not met.

        When the pledge is higher than available funds, neither pool owners nor those who
        delegate to that pool receive rewards.

        Increase the needed pledge amount by changing pool parameters.
        "
