"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 30 00:43:17 CEST 2020","Wed Sep 30 04:30:47 CEST 2020","13650128","cardano_node_tests.tests","test_update_proposal","","","","test_update_proposal","Submit update proposal."
"passed","Wed Sep 30 00:31:55 CEST 2020","Wed Sep 30 00:32:05 CEST 2020","10007","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_all","Send funds to and from script address using the ""all"" script."
"passed","Wed Sep 30 00:41:21 CEST 2020","Wed Sep 30 00:41:21 CEST 2020","102","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected1]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Wed Sep 30 00:41:26 CEST 2020","Wed Sep 30 00:41:26 CEST 2020","212","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee1]","Test pool deregistration fees."
"passed","Wed Sep 30 00:41:42 CEST 2020","Wed Sep 30 00:41:47 CEST 2020","5146","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[200]","Send funds to payment address."
"passed","Wed Sep 30 00:41:21 CEST 2020","Wed Sep 30 00:41:21 CEST 2020","88","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected3]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Wed Sep 30 00:35:02 CEST 2020","Wed Sep 30 00:36:33 CEST 2020","91904","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_homepage","Test pool metadata with the 'homepage' value longer than allowed."
"passed","Wed Sep 30 00:41:20 CEST 2020","Wed Sep 30 00:41:20 CEST 2020","109","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee0]","Test stake address registration fees."
"passed","Wed Sep 30 00:41:26 CEST 2020","Wed Sep 30 00:41:28 CEST 2020","2694","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected3]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Wed Sep 30 00:41:22 CEST 2020","Wed Sep 30 00:41:22 CEST 2020","91","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected3]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Wed Sep 30 00:42:58 CEST 2020","Wed Sep 30 00:42:59 CEST 2020","154","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_tx_in","Build a transaction with a missing `--tx-in` parameter."
"passed","Wed Sep 30 00:41:47 CEST 2020","Wed Sep 30 00:41:47 CEST 2020","28","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_description","Test pool metadata that is missing the 'description' key."
"passed","Wed Sep 30 00:43:22 CEST 2020","Wed Sep 30 00:43:30 CEST 2020","8242","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_chars_address","Send funds from payment address to address with invalid characters."
"passed","Wed Sep 30 00:43:02 CEST 2020","Wed Sep 30 00:43:02 CEST 2020","127","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_ttl","Build a transaction with a missing `--ttl` parameter."
"passed","Wed Sep 30 00:42:37 CEST 2020","Wed Sep 30 00:42:49 CEST 2020","12214","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_wrong_balance","Build a transaction with unbalanced change."
"passed","Wed Sep 30 00:41:23 CEST 2020","Wed Sep 30 00:41:23 CEST 2020","279","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected1]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Wed Sep 30 00:41:23 CEST 2020","Wed Sep 30 00:41:23 CEST 2020","283","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected0]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Wed Sep 30 00:43:35 CEST 2020","Wed Sep 30 00:43:35 CEST 2020","67","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_wrong_json_metadata_format","Build transaction with wrong fromat of metadata JSON."
"passed","Wed Sep 30 00:29:56 CEST 2020","Wed Sep 30 00:30:09 CEST 2020","12692","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_cost[9999999]","Create and register a stake pool with pool cost >= 'minPoolCost'."
"passed","Wed Sep 30 00:42:57 CEST 2020","Wed Sep 30 00:42:57 CEST 2020","216","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_negative_change","Build a transaction with a negative change."
"passed","Wed Sep 30 00:31:10 CEST 2020","Wed Sep 30 00:40:46 CEST 2020","575682","cardano_node_tests.tests","test_pools","TestStakePool","","","test_deregister_stake_pool[1]","Deregister stake pool."
"passed","Wed Sep 30 00:31:30 CEST 2020","Wed Sep 30 00:31:36 CEST 2020","6587","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_atleast_low_num_of_skeys","Send funds from script address using the ""atLeast"" script. Num of skeys < required."
"passed","Wed Sep 30 00:40:55 CEST 2020","Wed Sep 30 00:40:55 CEST 2020","54","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_cold","Generate pool registration certificate using wrong Cold key."
"passed","Wed Sep 30 00:32:00 CEST 2020","Wed Sep 30 00:32:30 CEST 2020","29939","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_atleast","Send funds to and from script address using the ""atLeast"" script."
"passed","Wed Sep 30 00:32:30 CEST 2020","Wed Sep 30 00:37:25 CEST 2020","295816","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata_not_avail","Create and register a stake pool with metadata file not available."
"passed","Wed Sep 30 00:40:52 CEST 2020","Wed Sep 30 00:40:52 CEST 2020","271","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_conflicting_certs","Send both pool registration and deregistration certificates in single TX."
"passed","Wed Sep 30 00:31:55 CEST 2020","Wed Sep 30 00:34:06 CEST 2020","131013","cardano_node_tests.tests","test_pools","TestStakePool","","","test_sign_in_multiple_stages","Create and register a stake pool with TX signed in multiple stages."
"passed","Wed Sep 30 00:42:17 CEST 2020","Wed Sep 30 00:42:27 CEST 2020","10255","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[1]","Tests 1 tx from 10 payment addresses to 1 payment address."
"passed","Wed Sep 30 00:34:59 CEST 2020","Wed Sep 30 00:35:02 CEST 2020","2580","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_ticker","Test pool metadata with the 'ticker' value longer than allowed."
"passed","Wed Sep 30 00:31:20 CEST 2020","Wed Sep 30 00:31:25 CEST 2020","5354","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_all_missing_skey","Send funds from script address using the ""all"" script, omit one skey."
"passed","Wed Sep 30 00:41:20 CEST 2020","Wed Sep 30 00:41:20 CEST 2020","160","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee1]","Test stake address deregistration fees."
"passed","Wed Sep 30 00:42:42 CEST 2020","Wed Sep 30 00:42:42 CEST 2020","182","cardano_node_tests.tests","test_transactions","TestNegative","","","test_past_ttl","Send a transaction with ttl in the past."
"passed","Wed Sep 30 00:43:01 CEST 2020","Wed Sep 30 00:43:02 CEST 2020","138","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_fee","Build a transaction with a missing `--fee` parameter."
"passed","Wed Sep 30 00:41:28 CEST 2020","Wed Sep 30 00:41:30 CEST 2020","2008","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected2]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Wed Sep 30 00:31:25 CEST 2020","Wed Sep 30 00:31:55 CEST 2020","29708","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[3]","Create and register a stake pool."
"passed","Wed Sep 30 00:40:47 CEST 2020","Wed Sep 30 00:40:54 CEST 2020","7182","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_negative_fee","Send a transaction with negative fee."
"passed","Wed Sep 30 00:41:25 CEST 2020","Wed Sep 30 00:41:25 CEST 2020","713","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee3]","Test pool registration fees."
"passed","Wed Sep 30 00:42:12 CEST 2020","Wed Sep 30 00:42:22 CEST 2020","10282","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[1]","Tests 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Wed Sep 30 00:42:31 CEST 2020","Wed Sep 30 00:42:46 CEST 2020","15392","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_100_addrs_from_50_addrs[1]","Tests 1 tx from 100 payment addresses to 50 payment addresses."
"passed","Wed Sep 30 00:41:23 CEST 2020","Wed Sep 30 00:41:23 CEST 2020","256","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected3]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Wed Sep 30 00:36:37 CEST 2020","Wed Sep 30 00:36:37 CEST 2020","91","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_long_metadata_url","Test pool creation with the 'metadata-url' longer than allowed."
"passed","Wed Sep 30 00:41:50 CEST 2020","Wed Sep 30 00:41:50 CEST 2020","196","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee2]","Test stake address registration fees."
"passed","Wed Sep 30 00:41:50 CEST 2020","Wed Sep 30 00:41:50 CEST 2020","295","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee3]","Test stake address registration fees."
"passed","Wed Sep 30 00:42:51 CEST 2020","Wed Sep 30 00:42:52 CEST 2020","379","cardano_node_tests.tests","test_transactions","TestNegative","","","test_wrong_signing_key","Send a transaction signed with wrong signing key."
"passed","Wed Sep 30 00:42:56 CEST 2020","Wed Sep 30 00:43:02 CEST 2020","6752","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_length_address","Send funds from address with invalid length."
"passed","Wed Sep 30 00:43:12 CEST 2020","Wed Sep 30 00:43:18 CEST 2020","5278","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_chars_address","Send funds from address with invalid characters."
"passed","Wed Sep 30 00:42:47 CEST 2020","Wed Sep 30 00:42:51 CEST 2020","4370","cardano_node_tests.tests","test_transactions","TestNegative","","","test_duplicated_tx","Send a single transaction twice."
"passed","Wed Sep 30 00:41:20 CEST 2020","Wed Sep 30 00:41:20 CEST 2020","176","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee3]","Test pool deregistration fees."
"passed","Wed Sep 30 00:41:24 CEST 2020","Wed Sep 30 00:41:26 CEST 2020","2036","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected0]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Wed Sep 30 00:41:22 CEST 2020","Wed Sep 30 00:41:22 CEST 2020","286","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected1]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Wed Sep 30 00:37:31 CEST 2020","Wed Sep 30 00:40:46 CEST 2020","194990","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[2]","Update stake pool metadata."
"passed","Wed Sep 30 00:42:02 CEST 2020","Wed Sep 30 00:42:12 CEST 2020","10431","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[1]","Tests 1 tx from 1 payment address to 10 payment addresses."
"passed","Wed Sep 30 00:42:51 CEST 2020","Wed Sep 30 00:43:02 CEST 2020","10144","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_length_address","Send funds from payment address to address with invalid length."
"passed","Wed Sep 30 00:41:21 CEST 2020","Wed Sep 30 00:41:21 CEST 2020","278","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee3]","Test stake address deregistration fees."
"passed","Wed Sep 30 00:34:15 CEST 2020","Wed Sep 30 00:40:46 CEST 2020","391040","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_vkey","Submit registration certificate and delegate to pool using cold vkey."
"passed","Wed Sep 30 00:34:10 CEST 2020","Wed Sep 30 00:34:19 CEST 2020","8769","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Test pool metadata with the 'name' value longer than allowed."
"passed","Wed Sep 30 00:42:42 CEST 2020","Wed Sep 30 00:42:47 CEST 2020","4922","cardano_node_tests.tests","test_transactions","TestNegative","","","test_duplicate_signing_keys","Send a transaction with duplicate signing key."
"passed","Wed Sep 30 00:37:25 CEST 2020","Wed Sep 30 00:40:46 CEST 2020","200383","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_parameters[1]","Update stake pool parameters."
"passed","Wed Sep 30 00:43:12 CEST 2020","Wed Sep 30 00:43:17 CEST 2020","4578","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_cbor","Send transaction with metadata CBOR."
"passed","Wed Sep 30 00:40:55 CEST 2020","Wed Sep 30 00:40:55 CEST 2020","19","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_ticker","Test pool metadata that is missing the 'ticker' key."
"passed","Wed Sep 30 00:41:23 CEST 2020","Wed Sep 30 00:41:24 CEST 2020","266","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected2]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Wed Sep 30 00:30:55 CEST 2020","Wed Sep 30 00:31:05 CEST 2020","9690","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[1]","Create and register a stake pool."
"passed","Wed Sep 30 00:41:21 CEST 2020","Wed Sep 30 00:41:21 CEST 2020","95","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected2]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Wed Sep 30 00:32:15 CEST 2020","Wed Sep 30 00:34:06 CEST 2020","111026","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[1]","Update stake pool metadata."
"passed","Wed Sep 30 00:41:39 CEST 2020","Wed Sep 30 00:41:42 CEST 2020","2617","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[2000]","Send funds to payment address."
"passed","Wed Sep 30 00:41:30 CEST 2020","Wed Sep 30 00:41:31 CEST 2020","361","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee2]","Test pool registration fees."
"passed","Wed Sep 30 00:34:30 CEST 2020","Wed Sep 30 00:34:30 CEST 2020","208","cardano_node_tests.tests","test_staking","TestNegative","","","test_unregister_not_registered_addr","Unregistered not registered stake address."
"passed","Wed Sep 30 00:23:24 CEST 2020","Wed Sep 30 00:23:29 CEST 2020","5156","cardano_node_tests.tests","test_multisig","TestBasic","","","test_normal_tx_to_script_addr","Send funds to script address using TX signed with skeys (not using witness files)."
