"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 24 16:58:03 CEST 2020","Thu Sep 24 16:58:03 CEST 2020","17","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_ticker","Test pool metadata that is missing the 'ticker' key."
"passed","Fri Sep 25 02:01:10 CEST 2020","Fri Sep 25 02:01:10 CEST 2020","63","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_invalid_json_metadata","Build transaction with invalid metadata JSON."
"passed","Thu Sep 24 16:51:18 CEST 2020","Thu Sep 24 16:51:23 CEST 2020","4834","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_addr_registration_deregistration","Submit registration and deregistration certificates in single TX."
"passed","Fri Sep 25 02:01:31 CEST 2020","Fri Sep 25 02:01:31 CEST 2020","131","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_ttl","Build a transaction with a missing `--ttl` parameter."
"passed","Thu Sep 24 16:40:17 CEST 2020","Thu Sep 24 16:40:22 CEST 2020","5205","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_any_unlisted_skey","Send funds from script address using the ""any"" script with unlisted skey."
"passed","Thu Sep 24 16:58:19 CEST 2020","Thu Sep 24 16:59:21 CEST 2020","61837","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_description","Test pool metadata with the 'description' value longer than allowed."
"passed","Thu Sep 24 16:48:03 CEST 2020","Thu Sep 24 16:48:33 CEST 2020","30083","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_atleast","Send funds to and from script address using the ""atLeast"" script."
"passed","Thu Sep 24 16:58:15 CEST 2020","Thu Sep 24 16:58:18 CEST 2020","3448","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[100000]","Send a transaction fee that is same or higher than expected."
"passed","Thu Sep 24 16:52:34 CEST 2020","Thu Sep 24 16:57:44 CEST 2020","309584","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_pool_id","Submit registration certificate and delegate to pool using pool id."
"passed","Fri Sep 25 02:01:25 CEST 2020","Fri Sep 25 02:01:31 CEST 2020","6706","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_non_existent_address","Send funds from payment address to non-existent address."
"passed","Fri Sep 25 02:01:45 CEST 2020","Fri Sep 25 02:01:50 CEST 2020","5124","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_json","Send transaction with metadata JSON."
"passed","Thu Sep 24 16:51:31 CEST 2020","Thu Sep 24 17:14:58 CEST 2020","1406752","cardano_node_tests.tests","test_staking","TestRewards","","","test_reward_amount","Check that the stake address and pool owner are receiving rewards."
"passed","Fri Sep 25 02:01:00 CEST 2020","Fri Sep 25 02:01:00 CEST 2020","207","cardano_node_tests.tests","test_transactions","TestNegative","","","test_past_ttl","Send a transaction with ttl in the past."
"passed","Thu Sep 24 16:51:13 CEST 2020","Thu Sep 24 16:51:21 CEST 2020","7688","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Test pool metadata with the 'name' value longer than allowed."
"passed","Fri Sep 25 02:01:35 CEST 2020","Fri Sep 25 02:01:35 CEST 2020","123","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_tx_out","Build a transaction with a missing `--tx-out` parameter."
"passed","Thu Sep 24 16:58:30 CEST 2020","Thu Sep 24 16:58:30 CEST 2020","137","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee0]","Test stake address deregistration fees."
"passed","Fri Sep 25 02:01:00 CEST 2020","Fri Sep 25 02:01:05 CEST 2020","4696","cardano_node_tests.tests","test_transactions","TestNegative","","","test_duplicate_signing_keys","Send a transaction with duplicate signing key."
"passed","Thu Sep 24 16:58:03 CEST 2020","Thu Sep 24 16:58:03 CEST 2020","52","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_cold","Generate pool registration certificate using wrong Cold key."
"passed","Thu Sep 24 16:58:24 CEST 2020","Thu Sep 24 16:58:25 CEST 2020","233","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee0]","Test pool deregistration fees."
"passed","Thu Sep 24 16:57:55 CEST 2020","Thu Sep 24 16:57:55 CEST 2020","53","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_vrf","Generate pool registration certificate using wrong VRF key."
"passed","Fri Sep 25 02:00:20 CEST 2020","Fri Sep 25 02:00:37 CEST 2020","16776","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_100_addrs_from_50_addrs[100]","Tests 1 tx from 100 payment addresses to 50 payment addresses."
"passed","Thu Sep 24 16:54:29 CEST 2020","Thu Sep 24 16:57:43 CEST 2020","194277","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_parameters[1]","Update stake pool parameters."
"passed","Fri Sep 25 01:59:45 CEST 2020","Fri Sep 25 01:59:50 CEST 2020","5078","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[10]","Send funds to payment address."
"passed","Fri Sep 25 02:00:55 CEST 2020","Fri Sep 25 02:01:01 CEST 2020","6585","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_length_address","Send funds from address with invalid length."
"passed","Thu Sep 24 16:58:25 CEST 2020","Thu Sep 24 16:58:25 CEST 2020","382","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected1]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Thu Sep 24 16:48:38 CEST 2020","Thu Sep 24 16:48:48 CEST 2020","10022","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_all","Send funds to and from script address using the ""all"" script."
"passed","Fri Sep 25 01:59:55 CEST 2020","Fri Sep 25 02:00:00 CEST 2020","5080","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[1]","Send funds to payment address."
"passed","Thu Sep 24 16:58:24 CEST 2020","Thu Sep 24 16:58:24 CEST 2020","268","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected0]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Thu Sep 24 16:48:53 CEST 2020","Thu Sep 24 16:51:04 CEST 2020","130951","cardano_node_tests.tests","test_pools","TestStakePool","","","test_sign_in_multiple_stages","Create and register a stake pool with TX signed in multiple stages."
