"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 30 17:16:11 CEST 2020","Wed Sep 30 17:16:36 CEST 2020","25110","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_cost[9999999]","Create and register a stake pool with pool cost >= 'minPoolCost'."
"passed","Wed Sep 30 17:21:17 CEST 2020","Wed Sep 30 17:21:22 CEST 2020","5153","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000000]","Send a transaction fee that is same or higher than expected."
"passed","Wed Sep 30 17:23:09 CEST 2020","Wed Sep 30 17:23:09 CEST 2020","155","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_negative_change","Build a transaction with a negative change."
"passed","Wed Sep 30 17:20:23 CEST 2020","Wed Sep 30 17:20:23 CEST 2020","19","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_name","Test pool metadata that is missing the 'name' key."
"passed","Wed Sep 30 17:18:22 CEST 2020","Wed Sep 30 17:18:37 CEST 2020","15230","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata","Create and register a stake pool with metadata."
"passed","Wed Sep 30 17:22:29 CEST 2020","Wed Sep 30 17:22:39 CEST 2020","9859","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[11000]","Tests 1 tx from 1 payment address to 10 payment addresses."
"passed","Wed Sep 30 17:23:44 CEST 2020","Wed Sep 30 17:23:49 CEST 2020","5064","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_both","Send transaction with both metadata JSON and CBOR."
"passed","Wed Sep 30 17:23:44 CEST 2020","Wed Sep 30 17:23:44 CEST 2020","51","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_invalid_json_metadata","Build transaction with invalid metadata JSON."
"passed","Wed Sep 30 17:21:26 CEST 2020","Wed Sep 30 17:21:29 CEST 2020","2889","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_ticker","Test pool metadata with the 'ticker' value longer than allowed."
"passed","Wed Sep 30 17:17:47 CEST 2020","Wed Sep 30 17:18:02 CEST 2020","14611","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[3]","Create and register a stake pool."
"passed","Wed Sep 30 17:17:42 CEST 2020","Wed Sep 30 17:17:47 CEST 2020","5638","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_all_missing_skey","Send funds from script address using the ""all"" script, omit one skey."
"passed","Wed Sep 30 17:22:19 CEST 2020","Wed Sep 30 17:22:24 CEST 2020","4805","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[10]","Send funds to payment address."
"passed","Wed Sep 30 17:22:04 CEST 2020","Wed Sep 30 17:22:09 CEST 2020","4866","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_all_funds","Send ALL funds from one payment address to another."
"passed","Wed Sep 30 17:17:27 CEST 2020","Wed Sep 30 17:18:22 CEST 2020","55118","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_any","Send funds to and from script address using the ""any"" script."
"passed","Wed Sep 30 17:23:31 CEST 2020","Wed Sep 30 17:23:31 CEST 2020","134","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_tx_out","Build a transaction with a missing `--tx-out` parameter."
"passed","Wed Sep 30 17:21:27 CEST 2020","Wed Sep 30 17:21:27 CEST 2020","333","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_missing_cold_skey","Register pool using transaction with missing Cold skey."
