"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 01 17:38:49 CEST 2020","Thu Oct 01 17:38:54 CEST 2020","5048","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_cbor","Send transaction with metadata CBOR."
"passed","Thu Oct 01 17:36:09 CEST 2020","Thu Oct 01 17:36:10 CEST 2020","263","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee1]","Test pool registration fees."
"passed","Thu Oct 01 21:20:20 CEST 2020","Thu Oct 01 21:30:09 CEST 2020","589319","cardano_node_tests.tests","test_configuration","","","","test_slot_length","Test the ""slotLength"" configuration."
"passed","Thu Oct 01 17:36:01 CEST 2020","Thu Oct 01 17:36:02 CEST 2020","196","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee2]","Test stake address deregistration fees."
"passed","Thu Oct 01 17:36:19 CEST 2020","Thu Oct 01 17:36:24 CEST 2020","5046","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[10]","Send funds to payment address."
"passed","Thu Oct 01 19:18:42 CEST 2020","Thu Oct 01 20:12:02 CEST 2020","3200198","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_unmet_pledge2","Check that the stake pool is not receiving rewards when pledge is not met.

        When the pledge is higher than available funds, neither pool owners nor those who
        delegate to that pool receive rewards.

        Withdraw part of pledge so the funds are lower than what is needed by the stake pool.
        "
"passed","Thu Oct 01 17:36:04 CEST 2020","Thu Oct 01 17:36:05 CEST 2020","257","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected2]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"failed","Thu Oct 01 17:32:02 CEST 2020","Thu Oct 01 17:32:02 CEST 2020","21","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_atleast_one_required","Build the ""atLeast"" multisig script where required is 1."
"passed","Thu Oct 01 17:38:40 CEST 2020","Thu Oct 01 17:38:41 CEST 2020","129","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_fee","Build a transaction with a missing `--fee` parameter."
"passed","Thu Oct 01 17:32:42 CEST 2020","Thu Oct 01 17:34:53 CEST 2020","131074","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[1]","Update stake pool metadata."
