"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 02 16:48:47 CEST 2020","Fri Oct 02 16:48:57 CEST 2020","10234","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[1]","Create and register a stake pool."
"passed","Fri Oct 02 16:51:32 CEST 2020","Fri Oct 02 16:51:36 CEST 2020","4886","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_negative_fee","Send a transaction with negative fee."
"passed","Fri Oct 02 16:51:01 CEST 2020","Fri Oct 02 16:51:52 CEST 2020","51056","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_description","Test pool metadata with the 'description' value longer than allowed."
"passed","Fri Oct 02 16:51:02 CEST 2020","Fri Oct 02 16:57:33 CEST 2020","391020","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_vkey","Submit registration certificate and delegate to pool using cold vkey."
"passed","Fri Oct 02 20:55:28 CEST 2020","Fri Oct 02 21:03:19 CEST 2020","471315","cardano_node_tests.tests","test_configuration","","","","test_epoch_length","Test the ""epochLength"" configuration."
"passed","Fri Oct 02 16:54:32 CEST 2020","Fri Oct 02 16:54:37 CEST 2020","5091","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_both","Send transaction with both metadata JSON and CBOR."
"passed","Fri Oct 02 16:47:57 CEST 2020","Fri Oct 02 16:48:02 CEST 2020","5284","cardano_node_tests.tests","test_multisig","TestNegative","","","test_normal_tx_from_script_addr","Send funds from script address using TX signed with skeys (not using witness files)."
"passed","Fri Oct 02 16:51:32 CEST 2020","Fri Oct 02 16:51:37 CEST 2020","5074","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000]","Send a transaction fee that is same or higher than expected."
"passed","Fri Oct 02 16:47:57 CEST 2020","Fri Oct 02 16:48:42 CEST 2020","45094","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[3]","Create and register a stake pool."
"passed","Fri Oct 02 16:51:56 CEST 2020","Fri Oct 02 16:51:56 CEST 2020","85","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected3]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Fri Oct 02 16:53:29 CEST 2020","Fri Oct 02 16:57:32 CEST 2020","243246","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_pool_id","Submit registration certificate and delegate to pool using pool id."
"passed","Fri Oct 02 16:51:02 CEST 2020","Fri Oct 02 16:51:02 CEST 2020","247","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_deregistration_not_registered","Deregister pool that is not registered."
