"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 06 16:13:15 CEST 2020","Tue Oct 06 16:13:15 CEST 2020","61","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_wrong_json_metadata_format","Build transaction with wrong fromat of metadata JSON."
"passed","Tue Oct 06 16:11:19 CEST 2020","Tue Oct 06 16:11:20 CEST 2020","229","cardano_node_tests.tests","test_staking","TestNegative","","","test_unregister_not_registered_addr","Unregistered not registered stake address."
"passed","Tue Oct 06 19:47:17 CEST 2020","Tue Oct 06 19:57:06 CEST 2020","589233","cardano_node_tests.tests","test_configuration","","","","test_slot_length","Test the ""slotLength"" configuration."
"passed","Tue Oct 06 16:10:52 CEST 2020","Tue Oct 06 16:10:53 CEST 2020","273","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected0]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Tue Oct 06 15:57:36 CEST 2020","Tue Oct 06 15:57:51 CEST 2020","15102","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_cost[9999999]","Create and register a stake pool with pool cost >= 'minPoolCost'."
"passed","Tue Oct 06 16:13:13 CEST 2020","Tue Oct 06 16:13:13 CEST 2020","129","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_fee","Build a transaction with a missing `--fee` parameter."
"passed","Tue Oct 06 16:10:14 CEST 2020","Tue Oct 06 16:10:19 CEST 2020","5130","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000]","Send a transaction fee that is same or higher than expected."
"passed","Tue Oct 06 15:58:31 CEST 2020","Tue Oct 06 16:06:22 CEST 2020","471322","cardano_node_tests.tests","test_configuration","","","","test_epoch_length","Test the ""epochLength"" configuration."
"passed","Tue Oct 06 16:10:19 CEST 2020","Tue Oct 06 16:10:24 CEST 2020","4896","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[100000]","Send a transaction fee that is same or higher than expected."
"passed","Tue Oct 06 16:11:36 CEST 2020","Tue Oct 06 16:12:26 CEST 2020","49885","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_10_transactions","Send 10 transactions to payment address.

        Test 10 different UTXOs in addr0.
        "
"passed","Tue Oct 06 16:12:11 CEST 2020","Tue Oct 06 16:12:22 CEST 2020","10149","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[100]","Tests 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Tue Oct 06 16:09:59 CEST 2020","Tue Oct 06 16:09:59 CEST 2020","246","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_missing_cold_skey","Register pool using transaction with missing Cold skey."
"passed","Tue Oct 06 16:10:51 CEST 2020","Tue Oct 06 16:10:51 CEST 2020","189","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee2]","Test stake address deregistration fees."
"passed","Tue Oct 06 16:08:31 CEST 2020","Tue Oct 06 16:08:34 CEST 2020","3030","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_ticker","Test pool metadata with the 'ticker' value longer than allowed."
"passed","Tue Oct 06 16:11:41 CEST 2020","Tue Oct 06 16:11:51 CEST 2020","10077","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[11000]","Tests 1 tx from 1 payment address to 10 payment addresses."
