"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 27 16:26:50 CET 2020","Tue Oct 27 16:27:13 CET 2020","23332","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_description","Test pool metadata with the 'description' value longer than allowed."
"passed","Tue Oct 27 17:17:22 CET 2020","Tue Oct 27 17:45:42 CET 2020","1700218","cardano_node_tests.tests","test_staking","TestRewards","","","test_decreasing_reward_transfered_funds","Check that rewards are gradually decreasing when funds are transfered."
"passed","Tue Oct 27 16:32:26 CET 2020","Tue Oct 27 16:32:36 CET 2020","9980","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[1]","Tests 1 tx from 10 payment addresses to 1 payment address."
"passed","Tue Oct 27 16:30:28 CET 2020","Tue Oct 27 16:30:28 CET 2020","154","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee0]","Test pool registration fees."
"passed","Tue Oct 27 16:31:01 CET 2020","Tue Oct 27 16:31:06 CET 2020","5149","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_all_funds","Send ALL funds from one payment address to another."
"passed","Tue Oct 27 16:30:31 CET 2020","Tue Oct 27 16:30:31 CET 2020","70","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected1]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Tue Oct 27 16:23:26 CET 2020","Tue Oct 27 16:23:41 CET 2020","14819","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata_not_avail","Create and register a stake pool with metadata file not available."
"passed","Tue Oct 27 16:30:32 CET 2020","Tue Oct 27 16:30:33 CET 2020","195","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected1]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Tue Oct 27 16:34:26 CET 2020","Tue Oct 27 16:34:31 CET 2020","4882","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_cbor","Send transaction with metadata CBOR."
"passed","Tue Oct 27 16:30:31 CET 2020","Tue Oct 27 16:30:31 CET 2020","208","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee3]","Test stake address deregistration fees."
"passed","Tue Oct 27 16:30:32 CET 2020","Tue Oct 27 16:30:32 CET 2020","196","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected1]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Tue Oct 27 16:32:06 CET 2020","Tue Oct 27 16:32:16 CET 2020","10069","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[100]","Tests 1 tx from 1 payment address to 10 payment addresses."
"passed","Tue Oct 27 16:27:15 CET 2020","Tue Oct 27 16:27:57 CET 2020","42135","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_homepage","Test pool metadata with the 'homepage' value longer than allowed."
"passed","Tue Oct 27 16:30:31 CET 2020","Tue Oct 27 16:30:31 CET 2020","69","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected2]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Tue Oct 27 16:30:31 CET 2020","Tue Oct 27 16:30:31 CET 2020","72","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected0]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Tue Oct 27 16:30:29 CET 2020","Tue Oct 27 16:30:29 CET 2020","400","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee3]","Test pool registration fees."
"passed","Tue Oct 27 16:34:21 CET 2020","Tue Oct 27 16:34:21 CET 2020","44","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_too_long_metadata_json","Build transaction with metadata JSON longer than 64 bytes."
"passed","Tue Oct 27 16:34:21 CET 2020","Tue Oct 27 16:34:26 CET 2020","4883","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_json","Send transaction with metadata JSON."
"passed","Tue Oct 27 16:30:31 CET 2020","Tue Oct 27 16:30:31 CET 2020","70","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected3]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Tue Oct 27 16:33:26 CET 2020","Tue Oct 27 16:33:29 CET 2020","3252","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[0]","Send a transaction fee that is same or higher than expected."
"passed","Tue Oct 27 16:33:03 CET 2020","Tue Oct 27 16:33:11 CET 2020","7664","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[1]","Tests 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Tue Oct 27 16:23:46 CET 2020","Tue Oct 27 16:23:51 CET 2020","5168","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_all_missing_skey","Send funds from script address using the ""all"" script, omit one skey."
"passed","Tue Oct 27 16:34:20 CET 2020","Tue Oct 27 16:34:20 CET 2020","101","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_tx_in","Build a transaction with a missing `--tx-in` parameter."
"passed","Tue Oct 27 16:23:36 CET 2020","Tue Oct 27 16:24:06 CET 2020","30025","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_atleast","Send funds to and from script address using the ""atLeast"" script."
"passed","Tue Oct 27 16:34:19 CET 2020","Tue Oct 27 16:34:22 CET 2020","3897","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_chars_address","Send funds from address with invalid characters."
"passed","Tue Oct 27 16:30:31 CET 2020","Tue Oct 27 16:30:32 CET 2020","195","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected0]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Tue Oct 27 16:30:46 CET 2020","Tue Oct 27 16:30:51 CET 2020","5143","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[10]","Send funds to payment address."
