"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 22 19:07:54 CEST 2020","Thu Oct 22 20:01:14 CEST 2020","3199627","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_unmet_pledge1","Check that the stake pool is not receiving rewards when pledge is not met.

        When the pledge is higher than available funds, neither pool owners nor those who
        delegate to that pool receive rewards.

        Increase the needed pledge amount by changing pool parameters.
        "
"passed","Thu Oct 22 22:16:40 CEST 2020","Thu Oct 22 22:16:40 CEST 2020","43","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_cold","Generate pool registration certificate using wrong Cold key."
"passed","Thu Oct 22 17:33:53 CEST 2020","Thu Oct 22 17:34:07 CEST 2020","14857","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_100_addrs_from_50_addrs[1]","Tests 1 tx from 100 payment addresses to 50 payment addresses."
"passed","Thu Oct 22 17:27:33 CEST 2020","Thu Oct 22 18:17:18 CEST 2020","2984606","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_deregistered_reward_addr","Check that the reward address is not receiving rewards when deregistered.

        The stake pool continues to operate normally and those who delegate to that pool receive
        rewards.
        "
"passed","Thu Oct 22 18:17:44 CEST 2020","Thu Oct 22 18:27:25 CEST 2020","581107","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_addr_delegation_deregistration","Submit delegation and deregistration certificates in single TX."
"passed","Thu Oct 22 17:27:32 CEST 2020","Thu Oct 22 17:28:13 CEST 2020","41390","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_homepage","Test pool metadata with the 'homepage' value longer than allowed."
"passed","Thu Oct 22 17:34:35 CEST 2020","Thu Oct 22 17:34:41 CEST 2020","5608","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_chars_address","Send funds from payment address to address with invalid characters."
"passed","Thu Oct 22 17:30:46 CEST 2020","Thu Oct 22 17:30:46 CEST 2020","69","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected3]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Thu Oct 22 17:33:38 CEST 2020","Thu Oct 22 17:33:43 CEST 2020","4590","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[0]","Send a transaction fee that is same or higher than expected."
"passed","Thu Oct 22 17:30:45 CEST 2020","Thu Oct 22 17:30:45 CEST 2020","139","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee2]","Test stake address deregistration fees."
"passed","Thu Oct 22 17:30:43 CEST 2020","Thu Oct 22 17:30:43 CEST 2020","259","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee2]","Test pool registration fees."
"passed","Thu Oct 22 18:17:39 CEST 2020","Thu Oct 22 18:17:44 CEST 2020","4955","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_addr_registration_deregistration","Submit registration and deregistration certificates in single TX."
"passed","Thu Oct 22 17:36:58 CEST 2020","Thu Oct 22 17:36:58 CEST 2020","14","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_homepage","Test pool metadata that is missing the 'homepage' key."
"passed","Thu Oct 22 17:27:13 CEST 2020","Thu Oct 22 17:27:13 CEST 2020","212","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_conflicting_certs","Send both pool registration and deregistration certificates in single TX."
"passed","Thu Oct 22 17:34:48 CEST 2020","Thu Oct 22 17:34:48 CEST 2020","58","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_wrong_json_metadata_format","Build transaction with wrong fromat of metadata JSON."
"passed","Thu Oct 22 22:26:15 CEST 2020","Thu Oct 22 22:53:20 CEST 2020","1624895","cardano_node_tests.tests","test_staking","TestRewards","","","test_reward_amount","Check that the stake address and pool owner are receiving rewards."
"passed","Thu Oct 22 17:34:28 CEST 2020","Thu Oct 22 17:34:28 CEST 2020","140","cardano_node_tests.tests","test_transactions","TestNegative","","","test_wrong_signing_key","Send a transaction signed with wrong signing key."
"passed","Thu Oct 22 17:34:23 CEST 2020","Thu Oct 22 17:34:28 CEST 2020","5176","cardano_node_tests.tests","test_transactions","TestNegative","","","test_duplicated_tx","Send a single transaction twice."
"passed","Thu Oct 22 17:30:46 CEST 2020","Thu Oct 22 17:30:46 CEST 2020","69","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected0]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Thu Oct 22 17:30:13 CEST 2020","Thu Oct 22 17:30:18 CEST 2020","4943","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000]","Send a transaction fee that is same or higher than expected."
"passed","Thu Oct 22 17:34:10 CEST 2020","Thu Oct 22 17:34:10 CEST 2020","98","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_negative_change","Build a transaction with a negative change."
"passed","Thu Oct 22 17:30:47 CEST 2020","Thu Oct 22 17:30:47 CEST 2020","192","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected0]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Thu Oct 22 22:03:09 CEST 2020","Thu Oct 22 22:12:58 CEST 2020","589291","cardano_node_tests.tests","test_configuration","","","","test_slot_length","Test the ""slotLength"" configuration."
"passed","Thu Oct 22 17:23:53 CEST 2020","Thu Oct 22 17:26:49 CEST 2020","176012","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[2]","Update stake pool metadata."
