"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 20 17:22:39 CEST 2020","Tue Oct 20 17:36:10 CEST 2020","811643","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_deregister","Deregister stake address."
"passed","Tue Oct 20 17:16:03 CEST 2020","Tue Oct 20 17:16:07 CEST 2020","4277","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Test pool metadata with the 'name' value longer than allowed."
"passed","Tue Oct 20 21:33:55 CEST 2020","Tue Oct 20 21:41:46 CEST 2020","471271","cardano_node_tests.tests","test_configuration","","","","test_epoch_length","Test the ""epochLength"" configuration."
"passed","Tue Oct 20 17:22:43 CEST 2020","Tue Oct 20 17:22:43 CEST 2020","155","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[2]","Send a transaction with smaller-than-expected fee."
"passed","Tue Oct 20 17:19:52 CEST 2020","Tue Oct 20 17:19:53 CEST 2020","202","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee3]","Test stake address deregistration fees."
"passed","Tue Oct 20 20:29:48 CEST 2020","Tue Oct 20 21:19:48 CEST 2020","3000083","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_deregistered_stake_addr","Check that the pool is not receiving rewards when owner's stake address is deregistered.

        When the owner's stake address is deregistered (i.e. owner's stake is lower than pledge),
        neither pool owners nor those who delegate to that pool receive rewards.
        "
"passed","Tue Oct 20 17:36:15 CEST 2020","Tue Oct 20 17:36:18 CEST 2020","2585","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_addr_registration_deregistration","Submit registration and deregistration certificates in single TX."
"passed","Tue Oct 20 17:16:13 CEST 2020","Tue Oct 20 17:39:53 CEST 2020","1419794","cardano_node_tests.tests","test_staking","TestRewards","","","test_reward_amount","Check that the stake address and pool owner are receiving rewards."
"passed","Tue Oct 20 17:19:52 CEST 2020","Tue Oct 20 17:19:52 CEST 2020","110","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee1]","Test stake address registration fees."
"passed","Tue Oct 20 17:19:53 CEST 2020","Tue Oct 20 17:19:53 CEST 2020","68","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected0]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Tue Oct 20 17:20:20 CEST 2020","Tue Oct 20 17:20:25 CEST 2020","5142","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[2000]","Send funds to payment address."
"passed","Tue Oct 20 17:19:54 CEST 2020","Tue Oct 20 17:19:54 CEST 2020","194","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected1]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Tue Oct 20 17:23:28 CEST 2020","Tue Oct 20 17:23:28 CEST 2020","42","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_reward_address","Send funds from payment address to stake address."
"passed","Tue Oct 20 21:33:38 CEST 2020","Tue Oct 20 21:33:38 CEST 2020","14","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_ticker","Test pool metadata that is missing the 'ticker' key."
"passed","Tue Oct 20 17:19:51 CEST 2020","Tue Oct 20 17:19:52 CEST 2020","125","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee3]","Test pool deregistration fees."
"passed","Tue Oct 20 17:20:15 CEST 2020","Tue Oct 20 17:20:20 CEST 2020","4933","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[200]","Send funds to payment address."
"passed","Tue Oct 20 17:19:55 CEST 2020","Tue Oct 20 17:19:56 CEST 2020","1438","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected0]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Tue Oct 20 17:21:41 CEST 2020","Tue Oct 20 17:21:50 CEST 2020","9648","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[11000]","Tests 1 tx from 1 payment address to 10 payment addresses."
"passed","Tue Oct 20 17:22:26 CEST 2020","Tue Oct 20 17:22:33 CEST 2020","7444","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[1]","Tests 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Tue Oct 20 17:23:41 CEST 2020","Tue Oct 20 17:23:45 CEST 2020","3636","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_chars_address","Send funds from address with invalid characters."
"passed","Tue Oct 20 17:23:48 CEST 2020","Tue Oct 20 17:23:53 CEST 2020","4939","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_cbor","Send transaction with metadata CBOR."
"passed","Tue Oct 20 17:19:53 CEST 2020","Tue Oct 20 17:19:53 CEST 2020","69","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected2]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Tue Oct 20 17:23:53 CEST 2020","Tue Oct 20 17:23:53 CEST 2020","43","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_too_long_metadata_json","Build transaction with metadata JSON longer than 64 bytes."
"passed","Tue Oct 20 21:30:18 CEST 2020","Tue Oct 20 21:30:24 CEST 2020","6064","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_atleast_low_num_of_skeys","Send funds from script address using the ""atLeast"" script. Num of skeys < required."
"passed","Tue Oct 20 17:19:30 CEST 2020","Tue Oct 20 17:19:35 CEST 2020","4931","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000000]","Send a transaction fee that is same or higher than expected."
"passed","Tue Oct 20 17:12:02 CEST 2020","Tue Oct 20 17:12:17 CEST 2020","15009","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_cost[500]","Create and register a stake pool with pool cost >= 'minPoolCost'."
"passed","Tue Oct 20 17:23:48 CEST 2020","Tue Oct 20 17:23:48 CEST 2020","46","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_invalid_json_metadata","Build transaction with invalid metadata JSON."
"passed","Tue Oct 20 17:23:10 CEST 2020","Tue Oct 20 17:23:18 CEST 2020","7462","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_wrong_balance","Build a transaction with unbalanced change."
"passed","Tue Oct 20 17:23:32 CEST 2020","Tue Oct 20 17:23:38 CEST 2020","5475","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_length_address","Send funds from payment address to address with invalid length."
"passed","Tue Oct 20 17:19:53 CEST 2020","Tue Oct 20 17:19:53 CEST 2020","69","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected1]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Tue Oct 20 17:19:19 CEST 2020","Tue Oct 20 17:19:19 CEST 2020","14","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_name","Test pool metadata that is missing the 'name' key."
"passed","Tue Oct 20 17:22:57 CEST 2020","Tue Oct 20 17:23:10 CEST 2020","12594","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_100_addrs_from_50_addrs[100]","Tests 1 tx from 100 payment addresses to 50 payment addresses."
"passed","Tue Oct 20 17:19:54 CEST 2020","Tue Oct 20 17:19:55 CEST 2020","192","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected2]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Tue Oct 20 18:07:52 CEST 2020","Tue Oct 20 19:36:28 CEST 2020","5316135","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_unmet_pledge1","Check that the stake pool is not receiving rewards when pledge is not met.

        When the pledge is higher than available funds, neither pool owners nor those who
        delegate to that pool receive rewards.

        Increase the needed pledge amount by changing pool parameters.
        "
"passed","Tue Oct 20 17:22:10 CEST 2020","Tue Oct 20 17:22:19 CEST 2020","8274","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[11000]","Tests 1 tx from 10 payment addresses to 1 payment address."
"passed","Tue Oct 20 17:19:52 CEST 2020","Tue Oct 20 17:19:52 CEST 2020","110","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee1]","Test stake address deregistration fees."
"passed","Tue Oct 20 17:19:55 CEST 2020","Tue Oct 20 17:19:55 CEST 2020","193","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected3]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Tue Oct 20 17:12:48 CEST 2020","Tue Oct 20 17:13:03 CEST 2020","15041","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata_not_avail","Create and register a stake pool with metadata file not available."
"passed","Tue Oct 20 17:23:10 CEST 2020","Tue Oct 20 17:23:25 CEST 2020","14999","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_100_addrs_from_50_addrs[1000]","Tests 1 tx from 100 payment addresses to 50 payment addresses."
"passed","Tue Oct 20 17:13:13 CEST 2020","Tue Oct 20 17:13:43 CEST 2020","30011","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_atleast","Send funds to and from script address using the ""atLeast"" script."
"passed","Tue Oct 20 17:19:51 CEST 2020","Tue Oct 20 17:19:51 CEST 2020","125","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee0]","Test pool deregistration fees."
"passed","Tue Oct 20 17:23:33 CEST 2020","Tue Oct 20 17:23:38 CEST 2020","5435","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_chars_address","Send funds from payment address to address with invalid characters."
"passed","Tue Oct 20 19:36:28 CEST 2020","Tue Oct 20 20:29:48 CEST 2020","3199973","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_unmet_pledge2","Check that the stake pool is not receiving rewards when pledge is not met.

        When the pledge is higher than available funds, neither pool owners nor those who
        delegate to that pool receive rewards.

        Withdraw part of pledge so the funds are lower than what is needed by the stake pool.
        "
"passed","Tue Oct 20 17:20:44 CEST 2020","Tue Oct 20 17:21:28 CEST 2020","43984","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_10_transactions","Send 10 transactions to payment address.

        Test 10 different UTXOs in addr0.
        "
"passed","Tue Oct 20 17:19:52 CEST 2020","Tue Oct 20 17:19:52 CEST 2020","140","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee2]","Test stake address registration fees."
"passed","Tue Oct 20 17:11:57 CEST 2020","Tue Oct 20 17:12:12 CEST 2020","15257","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_cost[9999999]","Create and register a stake pool with pool cost >= 'minPoolCost'."
"passed","Tue Oct 20 17:19:52 CEST 2020","Tue Oct 20 17:19:52 CEST 2020","206","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee3]","Test stake address registration fees."
"passed","Tue Oct 20 17:16:18 CEST 2020","Tue Oct 20 17:16:18 CEST 2020","198","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_deregistration_not_registered","Deregister pool that is not registered."
"passed","Tue Oct 20 17:22:53 CEST 2020","Tue Oct 20 17:23:05 CEST 2020","11794","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_100_addrs_from_50_addrs[1]","Tests 1 tx from 100 payment addresses to 50 payment addresses."
"passed","Tue Oct 20 17:19:53 CEST 2020","Tue Oct 20 17:19:53 CEST 2020","69","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected3]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Tue Oct 20 17:16:32 CEST 2020","Tue Oct 20 17:17:15 CEST 2020","43127","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_homepage","Test pool metadata with the 'homepage' value longer than allowed."
"passed","Tue Oct 20 17:20:25 CEST 2020","Tue Oct 20 17:20:28 CEST 2020","2572","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[100000]","Send funds to payment address."
"passed","Tue Oct 20 17:22:43 CEST 2020","Tue Oct 20 17:22:53 CEST 2020","10006","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[11000]","Tests 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Tue Oct 20 17:23:45 CEST 2020","Tue Oct 20 17:23:45 CEST 2020","97","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_ttl","Build a transaction with a missing `--ttl` parameter."
"passed","Tue Oct 20 17:14:03 CEST 2020","Tue Oct 20 17:15:59 CEST 2020","116003","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_parameters[1]","Update stake pool parameters."
"passed","Tue Oct 20 17:13:38 CEST 2020","Tue Oct 20 17:26:04 CEST 2020","746746","cardano_node_tests.tests","test_pools","TestStakePool","","","test_cancel_stake_pool_deregistration","Reregister a stake pool that is in course of being retired."
"passed","Tue Oct 20 17:23:28 CEST 2020","Tue Oct 20 17:23:32 CEST 2020","4751","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_non_existent_address","Send funds from payment address to non-existent address."
"passed","Tue Oct 20 17:19:58 CEST 2020","Tue Oct 20 17:19:59 CEST 2020","1438","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected2]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
