"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 19 10:27:23 CEST 2020","Mon Oct 19 10:27:28 CEST 2020","4892","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_cbor","Send transaction with metadata CBOR."
"passed","Mon Oct 19 10:25:13 CEST 2020","Mon Oct 19 10:25:23 CEST 2020","10287","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[1]","Tests 1 tx from 1 payment address to 10 payment addresses."
"passed","Mon Oct 19 10:23:46 CEST 2020","Mon Oct 19 10:23:46 CEST 2020","140","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[2]","Send a transaction with smaller-than-expected fee."
"passed","Mon Oct 19 10:24:09 CEST 2020","Mon Oct 19 10:24:10 CEST 2020","1813","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_ticker","Test pool metadata with the 'ticker' value longer than allowed."
"passed","Mon Oct 19 10:23:45 CEST 2020","Mon Oct 19 10:24:09 CEST 2020","23499","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_description","Test pool metadata with the 'description' value longer than allowed."
"passed","Mon Oct 19 10:24:29 CEST 2020","Mon Oct 19 10:24:29 CEST 2020","198","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected3]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Mon Oct 19 10:21:11 CEST 2020","Mon Oct 19 10:21:11 CEST 2020","297","cardano_node_tests.tests","test_multisig","TestBasic","","","test_script_addr_length","Check that script address length is the same as lenght of other addresses.

        There was an issue that script address was 32 bytes instead of 28 bytes.
        "
"passed","Mon Oct 19 10:24:27 CEST 2020","Mon Oct 19 10:24:27 CEST 2020","207","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee3]","Test stake address deregistration fees."
"passed","Mon Oct 19 10:24:28 CEST 2020","Mon Oct 19 10:24:28 CEST 2020","71","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected0]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Mon Oct 19 10:24:28 CEST 2020","Mon Oct 19 10:24:28 CEST 2020","199","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected0]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
