"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 29 22:40:17 CET 2020","Thu Oct 29 22:40:17 CET 2020","142","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[1.1]","Send a transaction with smaller-than-expected fee."
"passed","Thu Oct 29 21:53:39 CET 2020","Thu Oct 29 21:53:39 CET 2020","63","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_long_metadata_url","Test pool creation with the 'metadata-url' longer than allowed."
"passed","Fri Oct 30 02:58:25 CET 2020","Fri Oct 30 03:01:25 CET 2020","180094","cardano_node_tests.tests","test_pools","TestStakePool","","","test_deregister_stake_pool[1]","Deregister stake pool."
"passed","Thu Oct 29 21:58:22 CET 2020","Thu Oct 29 21:58:22 CET 2020","149","cardano_node_tests.tests","test_transactions","TestNegative","","","test_wrong_signing_key","Send a transaction signed with wrong signing key."
"passed","Thu Oct 29 21:54:07 CET 2020","Thu Oct 29 21:54:07 CET 2020","74","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected0]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Thu Oct 29 21:58:32 CET 2020","Thu Oct 29 21:58:32 CET 2020","45","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_reward_address","Send funds from payment address to stake address."
"passed","Thu Oct 29 21:52:37 CET 2020","Thu Oct 29 21:52:41 CET 2020","4222","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Test pool metadata with the 'name' value longer than allowed."
"passed","Thu Oct 29 21:52:47 CET 2020","Thu Oct 29 21:52:47 CET 2020","171","cardano_node_tests.tests","test_staking","TestNegative","","","test_register_addr_with_wrong_key","Register stake address using wrong key."
"passed","Fri Oct 30 02:58:20 CET 2020","Fri Oct 30 02:58:25 CET 2020","5379","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_all_missing_skey","Send funds from script address using the ""all"" script, omit one skey."
"passed","Thu Oct 29 21:58:22 CET 2020","Thu Oct 29 21:58:27 CET 2020","4767","cardano_node_tests.tests","test_transactions","TestNegative","","","test_extra_signing_keys","Send a transaction with extra signing key."
"passed","Thu Oct 29 21:53:39 CET 2020","Thu Oct 29 21:59:12 CET 2020","332991","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_pool_id","Submit registration certificate and delegate to pool using pool id."
"passed","Thu Oct 29 21:54:07 CET 2020","Thu Oct 29 21:54:08 CET 2020","207","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected0]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Thu Oct 29 21:54:04 CET 2020","Thu Oct 29 21:54:05 CET 2020","283","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee2]","Test pool registration fees."
"passed","Thu Oct 29 22:40:03 CET 2020","Thu Oct 29 22:40:08 CET 2020","4804","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_addr_registration_deregistration","Submit registration and deregistration certificates in single TX."
"passed","Thu Oct 29 21:52:47 CET 2020","Thu Oct 29 21:52:47 CET 2020","15","cardano_node_tests.tests","test_staking","TestNegative","","","test_delegation_cert_with_wrong_key","Generate stake address delegation certificate using wrong key."
"passed","Thu Oct 29 21:54:09 CET 2020","Thu Oct 29 21:54:09 CET 2020","208","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected2]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Thu Oct 29 21:54:12 CET 2020","Thu Oct 29 21:54:14 CET 2020","1535","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected2]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Thu Oct 29 21:54:11 CET 2020","Thu Oct 29 21:54:12 CET 2020","1534","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected1]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Thu Oct 29 21:57:07 CET 2020","Thu Oct 29 21:57:15 CET 2020","7993","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[100]","Tests 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Thu Oct 29 21:50:32 CET 2020","Thu Oct 29 21:52:33 CET 2020","121085","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_parameters[1]","Update stake pool parameters."
"passed","Fri Oct 30 02:49:51 CET 2020","Fri Oct 30 02:49:51 CET 2020","14","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_ticker","Test pool metadata that is missing the 'ticker' key."
"passed","Thu Oct 29 21:54:14 CET 2020","Thu Oct 29 21:54:15 CET 2020","1536","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected3]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Thu Oct 29 21:52:52 CET 2020","Thu Oct 29 21:52:52 CET 2020","172","cardano_node_tests.tests","test_staking","TestNegative","","","test_delegate_unregistered_addr","Delegate unregistered stake address."
"passed","Thu Oct 29 21:55:54 CET 2020","Thu Oct 29 21:56:04 CET 2020","10184","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[1]","Tests 1 tx from 1 payment address to 10 payment addresses."
"passed","Thu Oct 29 21:59:02 CET 2020","Thu Oct 29 21:59:02 CET 2020","44","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_invalid_json_metadata","Build transaction with invalid metadata JSON."
"passed","Thu Oct 29 21:54:07 CET 2020","Thu Oct 29 21:54:07 CET 2020","74","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected0]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Thu Oct 29 21:54:09 CET 2020","Thu Oct 29 21:54:09 CET 2020","208","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected1]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Thu Oct 29 21:49:52 CET 2020","Thu Oct 29 21:50:22 CET 2020","29863","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_atleast","Send funds to and from script address using the ""atLeast"" script."
"passed","Thu Oct 29 21:54:05 CET 2020","Thu Oct 29 21:54:05 CET 2020","133","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee1]","Test pool deregistration fees."
"passed","Thu Oct 29 21:54:08 CET 2020","Thu Oct 29 21:54:08 CET 2020","208","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected2]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Thu Oct 29 21:54:07 CET 2020","Thu Oct 29 21:54:07 CET 2020","74","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected1]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Thu Oct 29 21:58:55 CET 2020","Thu Oct 29 21:58:59 CET 2020","3738","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_chars_address","Send funds from address with invalid characters."
"passed","Thu Oct 29 21:50:22 CET 2020","Thu Oct 29 21:50:32 CET 2020","10208","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[1]","Create and register a stake pool."
"passed","Thu Oct 29 21:54:07 CET 2020","Thu Oct 29 21:54:07 CET 2020","74","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected3]","Tests fees for 1 tx from 1 payment address to 1 payment address."
