"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 30 16:19:44 CET 2020","Fri Oct 30 16:19:49 CET 2020","5176","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_non_existent_address","Send funds from payment address to non-existent address."
"passed","Fri Oct 30 16:20:17 CET 2020","Fri Oct 30 16:20:22 CET 2020","4915","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_json","Send transaction with metadata JSON."
"passed","Fri Oct 30 16:20:04 CET 2020","Fri Oct 30 16:20:08 CET 2020","4254","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_length_address","Send funds from address with invalid length."
"passed","Fri Oct 30 16:15:43 CET 2020","Fri Oct 30 16:15:43 CET 2020","76","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected3]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Fri Oct 30 16:15:04 CET 2020","Fri Oct 30 16:15:04 CET 2020","153","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[1.1]","Send a transaction with smaller-than-expected fee."
"passed","Fri Oct 30 16:11:42 CET 2020","Fri Oct 30 16:11:57 CET 2020","15014","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata_not_avail","Create and register a stake pool with metadata file not available."
"passed","Fri Oct 30 16:10:52 CET 2020","Fri Oct 30 16:10:52 CET 2020","291","cardano_node_tests.tests","test_multisig","TestBasic","","","test_script_addr_length","Check that script address length is the same as lenght of other addresses.

        There was an issue that script address was 32 bytes instead of 28 bytes.
        "
"passed","Fri Oct 30 16:13:51 CET 2020","Fri Oct 30 16:14:15 CET 2020","23772","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_description","Test pool metadata with the 'description' value longer than allowed."
"passed","Fri Oct 30 16:15:39 CET 2020","Fri Oct 30 16:15:40 CET 2020","291","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee2]","Test pool registration fees."
"passed","Fri Oct 30 16:15:54 CET 2020","Fri Oct 30 16:15:59 CET 2020","4981","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[1]","Send funds to payment address."
"passed","Fri Oct 30 16:10:42 CET 2020","Fri Oct 30 16:13:43 CET 2020","180803","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[1]","Update stake pool metadata."
"passed","Fri Oct 30 18:45:29 CET 2020","Fri Oct 30 18:45:33 CET 2020","4273","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_negative_fee","Send a transaction with negative fee."
"passed","Fri Oct 30 20:42:04 CET 2020","Fri Oct 30 20:48:29 CET 2020","384420","cardano_node_tests.tests","test_update_proposal","","","","test_update_proposal","Submit update proposal."
"passed","Fri Oct 30 16:14:27 CET 2020","Fri Oct 30 16:14:27 CET 2020","167","cardano_node_tests.tests","test_staking","TestNegative","","","test_delegate_unregistered_addr","Delegate unregistered stake address."
"passed","Fri Oct 30 16:15:43 CET 2020","Fri Oct 30 16:15:43 CET 2020","213","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected2]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Fri Oct 30 16:15:00 CET 2020","Fri Oct 30 16:15:00 CET 2020","60","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_long_metadata_url","Test pool creation with the 'metadata-url' longer than allowed."
"passed","Fri Oct 30 16:16:04 CET 2020","Fri Oct 30 16:16:09 CET 2020","4983","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[200]","Send funds to payment address."
"passed","Fri Oct 30 16:15:42 CET 2020","Fri Oct 30 16:15:42 CET 2020","123","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee1]","Test stake address deregistration fees."
