"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 04 13:53:09 CET 2020","Wed Nov 04 13:53:09 CET 2020","100","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_negative_change","Build a transaction with a negative change."
"passed","Wed Nov 04 13:46:52 CET 2020","Wed Nov 04 13:47:07 CET 2020","15167","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[3]","Create and register a stake pool."
"passed","Wed Nov 04 13:50:52 CET 2020","Wed Nov 04 13:50:52 CET 2020","212","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee1]","Test pool registration fees."
"passed","Wed Nov 04 13:49:37 CET 2020","Wed Nov 04 14:39:51 CET 2020","3014635","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_deregistered_stake_addr","Check that the pool is not receiving rewards when owner's stake address is deregistered.

        When the owner's stake address is deregistered (i.e. owner's stake is lower than pledge),
        neither pool owners nor those who delegate to that pool receive rewards.
        "
"passed","Wed Nov 04 13:50:55 CET 2020","Wed Nov 04 13:50:55 CET 2020","200","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected1]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Wed Nov 04 13:50:56 CET 2020","Wed Nov 04 13:50:56 CET 2020","200","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected1]","Tests fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Wed Nov 04 13:50:59 CET 2020","Wed Nov 04 13:50:59 CET 2020","140","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee2]","Test pool deregistration fees."
"passed","Wed Nov 04 13:53:34 CET 2020","Wed Nov 04 13:53:38 CET 2020","4072","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_length_address","Send funds from address with invalid length."
"passed","Wed Nov 04 13:53:30 CET 2020","Wed Nov 04 13:53:34 CET 2020","3676","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_non_existent_address","Send funds from non-existent address."
"passed","Wed Nov 04 13:50:53 CET 2020","Wed Nov 04 13:50:53 CET 2020","125","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee3]","Test pool deregistration fees."
"passed","Wed Nov 04 13:47:32 CET 2020","Wed Nov 04 13:49:23 CET 2020","111122","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[2]","Update stake pool metadata."
"passed","Wed Nov 04 18:06:45 CET 2020","Wed Nov 04 18:09:54 CET 2020","189084","cardano_node_tests.tests","test_pools","TestStakePool","","","test_reregister_stake_pool","Reregister stake pool."
"passed","Wed Nov 04 13:53:42 CET 2020","Wed Nov 04 13:53:42 CET 2020","57","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_wrong_json_metadata_format","Build transaction with wrong fromat of metadata JSON."
"passed","Wed Nov 04 13:51:39 CET 2020","Wed Nov 04 13:51:49 CET 2020","10197","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[1]","Tests 1 tx from 1 payment address to 10 payment addresses."
"passed","Wed Nov 04 13:49:42 CET 2020","Wed Nov 04 13:49:42 CET 2020","182","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_missing_payment_skey","Register pool using transaction with missing payment skey."
"passed","Wed Nov 04 13:50:53 CET 2020","Wed Nov 04 13:50:53 CET 2020","113","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee1]","Test stake address registration fees."
"passed","Wed Nov 04 13:51:59 CET 2020","Wed Nov 04 13:52:09 CET 2020","10127","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[1]","Tests 1 tx from 10 payment addresses to 1 payment address."
"passed","Wed Nov 04 13:50:54 CET 2020","Wed Nov 04 13:50:55 CET 2020","72","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected2]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Wed Nov 04 13:34:46 CET 2020","Wed Nov 04 13:34:46 CET 2020","286","cardano_node_tests.tests","test_multisig","TestBasic","","","test_script_addr_length","Check that script address length is the same as lenght of other addresses.

        There was an issue that script address was 32 bytes instead of 28 bytes.
        "
"passed","Wed Nov 04 13:52:34 CET 2020","Wed Nov 04 13:52:44 CET 2020","10017","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[1]","Tests 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Wed Nov 04 13:51:04 CET 2020","Wed Nov 04 13:51:09 CET 2020","4990","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[1]","Send funds to payment address."
"passed","Wed Nov 04 13:49:47 CET 2020","Wed Nov 04 13:49:47 CET 2020","167","cardano_node_tests.tests","test_staking","TestNegative","","","test_deregister_not_registered_addr","Deregister not registered stake address."
"passed","Wed Nov 04 13:46:27 CET 2020","Wed Nov 04 13:46:32 CET 2020","5213","cardano_node_tests.tests","test_multisig","TestNegative","","","test_normal_tx_from_script_addr","Send funds from script address using TX signed with skeys (not using witness files)."
"passed","Wed Nov 04 13:49:37 CET 2020","Wed Nov 04 13:49:37 CET 2020","15","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_description","Test pool metadata that is missing the 'description' key."
"passed","Wed Nov 04 13:53:12 CET 2020","Wed Nov 04 13:53:13 CET 2020","127","cardano_node_tests.tests","test_transactions","TestNegative","","","test_past_ttl","Send a transaction with ttl in the past."
"passed","Wed Nov 04 14:40:08 CET 2020","Wed Nov 04 15:08:30 CET 2020","1701746","cardano_node_tests.tests","test_staking","TestRewards","","","test_decreasing_reward_transfered_funds","Check that rewards are gradually decreasing when funds are transfered."
"passed","Wed Nov 04 13:50:07 CET 2020","Wed Nov 04 13:50:12 CET 2020","4853","cardano_node_tests.tests","test_staking","TestNegative","","","test_delegate_addr_with_wrong_key","Delegate stake address using wrong key."
"passed","Wed Nov 04 18:00:16 CET 2020","Wed Nov 04 18:06:18 CET 2020","362164","cardano_node_tests.tests","test_kes","TestKES","","","test_expired_kes","Test expired KES."
"passed","Wed Nov 04 13:50:54 CET 2020","Wed Nov 04 13:50:54 CET 2020","210","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee3]","Test stake address deregistration fees."
"passed","Wed Nov 04 13:53:29 CET 2020","Wed Nov 04 13:53:34 CET 2020","5120","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_chars_address","Send funds from payment address to address with invalid characters."
"passed","Wed Nov 04 13:46:32 CET 2020","Wed Nov 04 13:59:29 CET 2020","776899","cardano_node_tests.tests","test_pools","TestStakePool","","","test_cancel_stake_pool_deregistration","Reregister a stake pool that is in course of being retired."
"passed","Wed Nov 04 13:50:54 CET 2020","Wed Nov 04 13:50:54 CET 2020","71","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected0]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Wed Nov 04 13:53:34 CET 2020","Wed Nov 04 13:53:38 CET 2020","3905","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_chars_address","Send funds from address with invalid characters."
"passed","Wed Nov 04 13:50:55 CET 2020","Wed Nov 04 13:50:55 CET 2020","198","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected0]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Wed Nov 04 13:50:17 CET 2020","Wed Nov 04 13:50:17 CET 2020","139","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[1.1]","Send a transaction with smaller-than-expected fee."
"passed","Wed Nov 04 13:50:55 CET 2020","Wed Nov 04 13:50:55 CET 2020","69","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected3]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Wed Nov 04 13:53:24 CET 2020","Wed Nov 04 13:53:24 CET 2020","47","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_reward_address","Send funds from payment address to stake address."
"passed","Wed Nov 04 13:51:14 CET 2020","Wed Nov 04 13:51:19 CET 2020","4992","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[100000]","Send funds to payment address."
"passed","Wed Nov 04 13:50:02 CET 2020","Wed Nov 04 13:56:03 CET 2020","360838","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_pool_id","Submit registration certificate and delegate to pool using pool id."
"passed","Wed Nov 04 13:50:54 CET 2020","Wed Nov 04 13:50:54 CET 2020","70","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected1]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Wed Nov 04 14:40:13 CET 2020","Wed Nov 04 14:40:18 CET 2020","4940","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_addr_registration_deregistration","Submit registration and deregistration certificates in single TX."
"passed","Wed Nov 04 18:18:34 CET 2020","Wed Nov 04 18:21:34 CET 2020","180263","cardano_node_tests.tests","test_pools","TestStakePool","","","test_deregister_stake_pool[1]","Deregister stake pool."
"passed","Wed Nov 04 17:53:48 CET 2020","Wed Nov 04 18:00:00 CET 2020","372513","cardano_node_tests.tests","test_update_proposal","","","","test_update_proposal","Submit update proposal."
