"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 06 16:49:48 CET 2020","Fri Nov 06 16:49:48 CET 2020","79","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected2]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Fri Nov 06 16:52:25 CET 2020","Fri Nov 06 16:52:25 CET 2020","98","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_negative_change","Build a transaction with a negative change."
"passed","Fri Nov 06 21:42:16 CET 2020","Fri Nov 06 21:52:05 CET 2020","589192","cardano_node_tests.tests","test_configuration","","","","test_slot_length","Test the ""slotLength"" configuration."
"passed","Fri Nov 06 16:44:38 CET 2020","Fri Nov 06 16:44:43 CET 2020","5378","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_all_missing_skey","Send funds from script address using the ""all"" script, omit one skey."
"passed","Fri Nov 06 16:49:45 CET 2020","Fri Nov 06 16:49:46 CET 2020","237","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee1]","Test pool registration fees."
"passed","Fri Nov 06 16:44:43 CET 2020","Fri Nov 06 16:44:48 CET 2020","5210","cardano_node_tests.tests","test_multisig","TestNegative","","","test_normal_tx_from_script_addr","Send funds from script address using TX signed with skeys (not using witness files)."
"passed","Fri Nov 06 16:52:45 CET 2020","Fri Nov 06 16:52:45 CET 2020","48","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_reward_address","Send funds from payment address to stake address."
"passed","Fri Nov 06 16:45:23 CET 2020","Fri Nov 06 16:45:33 CET 2020","10188","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_all","Send funds to and from script address using the ""all"" script."
"passed","Fri Nov 06 16:49:46 CET 2020","Fri Nov 06 16:49:46 CET 2020","295","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee2]","Test pool registration fees."
"passed","Fri Nov 06 16:49:48 CET 2020","Fri Nov 06 16:49:48 CET 2020","93","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee0]","Test stake address deregistration fees."
"passed","Fri Nov 06 16:49:48 CET 2020","Fri Nov 06 16:49:49 CET 2020","77","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected0]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Fri Nov 06 16:47:53 CET 2020","Fri Nov 06 16:47:53 CET 2020","196","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_missing_cold_skey","Register pool using transaction with missing Cold skey."
"passed","Fri Nov 06 16:51:33 CET 2020","Fri Nov 06 16:51:43 CET 2020","9984","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[1]","Tests 1 tx from 10 payment addresses to 1 payment address."
"passed","Fri Nov 06 16:52:45 CET 2020","Fri Nov 06 16:52:50 CET 2020","4794","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_non_existent_address","Send funds from payment address to non-existent address."
