"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 02 11:02:26 CET 2020","Mon Nov 02 11:02:28 CET 2020","1821","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_ticker","Test pool metadata with the 'ticker' value longer than allowed."
"passed","Mon Nov 02 11:03:58 CET 2020","Mon Nov 02 11:03:58 CET 2020","78","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected1]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Mon Nov 02 17:21:46 CET 2020","Mon Nov 02 17:21:46 CET 2020","15","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_description","Test pool metadata that is missing the 'description' key."
"passed","Mon Nov 02 11:03:58 CET 2020","Mon Nov 02 11:03:58 CET 2020","231","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee3]","Test stake address deregistration fees."
"passed","Mon Nov 02 11:07:32 CET 2020","Mon Nov 02 11:07:47 CET 2020","15122","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_100_addrs_from_50_addrs[1000]","Tests 1 tx from 100 payment addresses to 50 payment addresses."
"passed","Mon Nov 02 11:00:13 CET 2020","Mon Nov 02 11:01:54 CET 2020","101135","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[2]","Update stake pool metadata."
"passed","Mon Nov 02 11:04:00 CET 2020","Mon Nov 02 11:04:02 CET 2020","1607","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected0]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Mon Nov 02 11:05:58 CET 2020","Mon Nov 02 11:06:08 CET 2020","10000","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[11000]","Tests 1 tx from 1 payment address to 10 payment addresses."
"passed","Mon Nov 02 11:04:02 CET 2020","Mon Nov 02 11:04:04 CET 2020","1604","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected1]","Tests fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Mon Nov 02 11:04:55 CET 2020","Mon Nov 02 11:05:40 CET 2020","44856","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_10_transactions","Send 10 transactions to payment address.

        Test 10 different UTXOs in addr0.
        "
"passed","Mon Nov 02 11:08:10 CET 2020","Mon Nov 02 11:08:15 CET 2020","4996","cardano_node_tests.tests","test_transactions","TestNegative","","","test_extra_signing_keys","Send a transaction with extra signing key."
"passed","Mon Nov 02 11:03:55 CET 2020","Mon Nov 02 11:03:55 CET 2020","172","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee0]","Test pool registration fees."
"broken","Mon Nov 02 11:07:53 CET 2020","Mon Nov 02 11:08:03 CET 2020","10334","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_wrong_balance","Build a transaction with unbalanced change."
"passed","Mon Nov 02 11:04:25 CET 2020","Mon Nov 02 11:04:30 CET 2020","4993","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[2000]","Send funds to payment address."
"passed","Mon Nov 02 11:08:53 CET 2020","Mon Nov 02 11:08:58 CET 2020","4713","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_json","Send transaction with metadata JSON."
"passed","Mon Nov 02 11:03:56 CET 2020","Mon Nov 02 11:03:57 CET 2020","140","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee2]","Test pool deregistration fees."
"passed","Mon Nov 02 12:42:59 CET 2020","Mon Nov 02 13:19:39 CET 2020","2199983","cardano_node_tests.tests","test_staking","TestRewards","","","test_deregister_reward_addr_retire_pool","Test deregistering reward address and retiring stake pool.

        The pool deposit is lost when reward address is deregistered before the pool is retired.
        "
"passed","Mon Nov 02 11:08:53 CET 2020","Mon Nov 02 11:08:53 CET 2020","46","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_invalid_json_metadata","Build transaction with invalid metadata JSON."
"passed","Mon Nov 02 11:08:49 CET 2020","Mon Nov 02 11:08:49 CET 2020","110","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_ttl","Build a transaction with a missing `--ttl` parameter."
"passed","Mon Nov 02 11:03:58 CET 2020","Mon Nov 02 11:03:58 CET 2020","77","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected2]","Tests fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Mon Nov 02 11:03:57 CET 2020","Mon Nov 02 11:03:57 CET 2020","124","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee1]","Test stake address registration fees."
"passed","Mon Nov 02 10:57:56 CET 2020","Mon Nov 02 10:58:07 CET 2020","10883","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_low_cost","Try to create and register a stake pool with pool cost lower than 'minPoolCost'."
"passed","Mon Nov 02 16:06:38 CET 2020","Mon Nov 02 16:16:27 CET 2020","589235","cardano_node_tests.tests","test_configuration","","","","test_slot_length","Test the ""slotLength"" configuration."
"passed","Mon Nov 02 11:08:20 CET 2020","Mon Nov 02 11:08:25 CET 2020","5231","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_non_existent_address","Send funds from payment address to non-existent address."
"passed","Mon Nov 02 11:01:58 CET 2020","Mon Nov 02 11:02:02 CET 2020","4458","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Test pool metadata with the 'name' value longer than allowed."
"passed","Mon Nov 02 11:03:58 CET 2020","Mon Nov 02 11:03:58 CET 2020","80","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected3]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Mon Nov 02 11:04:10 CET 2020","Mon Nov 02 11:04:15 CET 2020","4994","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[1]","Send funds to payment address."
"passed","Mon Nov 02 11:03:18 CET 2020","Mon Nov 02 11:03:18 CET 2020","155","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[1.1]","Send a transaction with smaller-than-expected fee."
"passed","Mon Nov 02 11:06:55 CET 2020","Mon Nov 02 11:07:05 CET 2020","9991","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[11000]","Tests 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Mon Nov 02 11:04:30 CET 2020","Mon Nov 02 11:04:35 CET 2020","4989","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[100000]","Send funds to payment address."
"passed","Mon Nov 02 10:57:08 CET 2020","Mon Nov 02 10:57:18 CET 2020","9998","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_all","Send funds to and from script address using the ""all"" script."
"passed","Mon Nov 02 11:01:58 CET 2020","Mon Nov 02 11:01:58 CET 2020","195","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_missing_cold_skey","Register pool using transaction with missing Cold skey."
"passed","Mon Nov 02 11:52:39 CET 2020","Mon Nov 02 12:21:01 CET 2020","1702424","cardano_node_tests.tests","test_staking","TestRewards","","","test_decreasing_reward_transfered_funds","Check that rewards are gradually decreasing when funds are transfered."
"passed","Mon Nov 02 10:59:58 CET 2020","Mon Nov 02 11:00:13 CET 2020","15067","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata_not_avail","Create and register a stake pool with metadata file not available."
"passed","Mon Nov 02 11:02:33 CET 2020","Mon Nov 02 11:02:33 CET 2020","168","cardano_node_tests.tests","test_staking","TestNegative","","","test_delegate_unregistered_addr","Delegate unregistered stake address."
"passed","Mon Nov 02 11:08:49 CET 2020","Mon Nov 02 11:08:49 CET 2020","110","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_tx_out","Build a transaction with a missing `--tx-out` parameter."
"passed","Mon Nov 02 11:08:34 CET 2020","Mon Nov 02 11:08:40 CET 2020","6739","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_vkey","Submit registration certificate and delegate to pool using cold vkey."
"passed","Mon Nov 02 13:19:39 CET 2020","Mon Nov 02 14:12:59 CET 2020","3199627","cardano_node_tests.tests","test_staking","TestRewards","","","test_no_reward_unmet_pledge1","Check that the stake pool is not receiving rewards when pledge is not met.

        When the pledge is higher than available funds, neither pool owners nor those who
        delegate to that pool receive rewards.

        Increase the needed pledge amount by changing pool parameters.
        "
"passed","Mon Nov 02 11:04:20 CET 2020","Mon Nov 02 11:04:25 CET 2020","4995","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[200]","Send funds to payment address."
"passed","Mon Nov 02 11:08:49 CET 2020","Mon Nov 02 11:08:49 CET 2020","109","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_fee","Build a transaction with a missing `--fee` parameter."
"passed","Mon Nov 02 13:19:43 CET 2020","Mon Nov 02 13:19:48 CET 2020","4305","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_negative_fee","Send a transaction with negative fee."
"passed","Mon Nov 02 11:03:18 CET 2020","Mon Nov 02 11:03:18 CET 2020","155","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[2]","Send a transaction with smaller-than-expected fee."
"passed","Mon Nov 02 11:03:58 CET 2020","Mon Nov 02 11:03:58 CET 2020","79","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected2]","Tests fees for 1 tx from 1 payment address to 1 payment address."
"passed","Mon Nov 02 17:21:46 CET 2020","Mon Nov 02 17:24:56 CET 2020","190286","cardano_node_tests.tests","test_pools","TestStakePool","","","test_deregister_stake_pool[1]","Deregister stake pool."
"passed","Mon Nov 02 11:03:59 CET 2020","Mon Nov 02 11:03:59 CET 2020","215","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected0]","Tests fees for 1 tx from 10 payment addresses to 1 payment address."
