"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 18 16:45:01 CET 2020","Wed Nov 18 16:45:06 CET 2020","5252","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_any_unlisted_skey","Try to send funds from script address using the *any* script with unlisted skey.

        Expect failure.
        "
"passed","Wed Nov 18 22:02:37 CET 2020","Wed Nov 18 22:05:28 CET 2020","171142","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_parameters[2]","Update stake pool parameters.

        * register pool
        * update the pool parameters by resubmitting the pool registration certificate
        * check that the pool parameters were correctly updated on chain
        "
"passed","Wed Nov 18 16:48:26 CET 2020","Wed Nov 18 16:48:26 CET 2020","15","cardano_node_tests.tests","test_staking","TestNegative","","","test_registration_cert_with_wrong_key","Try to generate stake address registration certificate using wrong stake vkey.

        Expect failure.
        "
"passed","Wed Nov 18 16:45:02 CET 2020","Wed Nov 18 16:48:06 CET 2020","183959","cardano_node_tests.tests","test_pools","TestStakePool","","","test_reregister_stake_pool","Reregister stake pool.

        * deregister stake pool
        * check that the stake addresses are no longer delegated
        * reregister the pool by resubmitting the pool registration certificate
        * delegate stake address to pool again (the address is already registered)
        * check that pool was correctly setup
        * check that the stake addresses were delegated
        "
"passed","Wed Nov 18 16:58:48 CET 2020","Wed Nov 18 16:58:48 CET 2020","127","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee1]","Test pool deregistration fees."
"passed","Wed Nov 18 16:44:00 CET 2020","Wed Nov 18 16:44:15 CET 2020","15063","cardano_node_tests.tests","test_pools","TestPoolCost","","","test_stake_pool_cost[9999999]","Create and register a stake pool with *pool cost* >= *minPoolCost*."
"passed","Wed Nov 18 16:59:31 CET 2020","Wed Nov 18 16:59:38 CET 2020","7285","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[100]","Test 1 transaction from 1 payment address to 10 payment addresses.

        * send funds from 1 source address to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 20:31:34 CET 2020","Wed Nov 18 20:59:53 CET 2020","1698905","cardano_node_tests.tests","test_staking","TestRewards","","","test_decreasing_reward_transfered_funds","Check that rewards are gradually decreasing when funds are being transfered.

        Even though nothing is staked and rewards are being transfered from reward address, there
        are still some funds staked on the reward address at the time ledger snapshot is taken. For
        that reason the reward amount received every epoch is gradually decreasing over the period
        of several epochs until it is finally 0.

        * delegate stake address
        * wait for first reward
        * transfer all funds from payment address back to faucet, so no funds are staked
        * keep withdrawing new rewards so reward ballance is 0
        * check that reward amount is decreasing epoch after epoch
        "
"passed","Wed Nov 18 16:48:31 CET 2020","Wed Nov 18 16:48:31 CET 2020","167","cardano_node_tests.tests","test_staking","TestNegative","","","test_deregister_not_registered_addr","Deregister not registered stake address."
"passed","Wed Nov 18 19:58:36 CET 2020","Wed Nov 18 19:58:40 CET 2020","4725","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_negative_fee","Try to send a transaction with negative fee (property-based test).

        Expect failure.
        "
"passed","Wed Nov 18 22:02:22 CET 2020","Wed Nov 18 22:02:27 CET 2020","5012","cardano_node_tests.tests","test_multisig","TestBasic","","","test_normal_tx_to_script_addr","Send funds to script address using TX signed with skeys (not using witness files)."
"passed","Wed Nov 18 16:59:06 CET 2020","Wed Nov 18 16:59:11 CET 2020","4932","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[100000]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 16:58:46 CET 2020","Wed Nov 18 16:58:46 CET 2020","70","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected3]","Test fees for 1 tx from 1 payment address to 1 payment address."
"passed","Wed Nov 18 17:00:13 CET 2020","Wed Nov 18 17:00:23 CET 2020","10015","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[100]","Test 1 transaction from 10 payment addresses to 10 payment addresses.

        * send funds from 10 source addresses to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 16:58:45 CET 2020","Wed Nov 18 16:58:45 CET 2020","141","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee2]","Test stake address deregistration fees."
"passed","Wed Nov 18 16:45:11 CET 2020","Wed Nov 18 16:46:06 CET 2020","55115","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_any","Send funds using the *any* script.

        * send funds to script address
        * send funds from script address using single witness
        * send funds from script address using multiple witnesses
        "
"passed","Wed Nov 18 16:48:06 CET 2020","Wed Nov 18 16:48:06 CET 2020","14","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_ticker","Try to create pool metadata hash when missing the *ticker* key.

        Expect failure.
        "
"passed","Wed Nov 18 16:58:45 CET 2020","Wed Nov 18 16:58:45 CET 2020","213","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee3]","Test stake address deregistration fees."
"passed","Wed Nov 18 16:44:56 CET 2020","Wed Nov 18 16:45:02 CET 2020","6292","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_atleast_low_num_of_skeys","Try to send funds from script address using the *atLeast* script.

        Num of skeys < required. Expect failure.
        "
"passed","Wed Nov 18 16:58:46 CET 2020","Wed Nov 18 16:58:46 CET 2020","71","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected1]","Test fees for 1 tx from 1 payment address to 1 payment address."
"passed","Wed Nov 18 16:58:43 CET 2020","Wed Nov 18 16:58:44 CET 2020","264","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee2]","Test pool registration fees."
"passed","Wed Nov 18 22:12:16 CET 2020","Wed Nov 18 22:15:16 CET 2020","180098","cardano_node_tests.tests","test_pools","TestStakePool","","","test_deregister_stake_pool[1]","Deregister stake pool.

        * deregister stake pool
        * check that the stake addresses are no longer delegated
        * check that the pool deposit was returned to reward account
        "
"passed","Wed Nov 18 16:58:48 CET 2020","Wed Nov 18 16:58:50 CET 2020","1466","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected2]","Test fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Wed Nov 18 16:48:06 CET 2020","Wed Nov 18 16:48:06 CET 2020","14","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_homepage","Try to create pool metadata hash when missing the *homepage* key.

        Expect failure.
        "
"passed","Wed Nov 18 17:00:28 CET 2020","Wed Nov 18 17:00:40 CET 2020","11866","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_100_addrs_from_50_addrs[100]","Test 1 transaction from 50 payment addresses to 100 payment addresses.

        * send funds from 50 source addresses to 100 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 17:01:18 CET 2020","Wed Nov 18 17:01:23 CET 2020","5109","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_json","Send transaction with metadata JSON.

        Check that the metadata in TX body matches the original metadata.
        "
"passed","Wed Nov 18 21:52:11 CET 2020","Wed Nov 18 22:02:00 CET 2020","589213","cardano_node_tests.tests","test_configuration","TestBasic","","","test_slot_length","Test the *slotLength* configuration."
"passed","Wed Nov 18 16:58:45 CET 2020","Wed Nov 18 16:58:45 CET 2020","114","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_deregistration_fees[addr_fee1]","Test stake address deregistration fees."
"passed","Wed Nov 18 17:01:10 CET 2020","Wed Nov 18 17:01:10 CET 2020","100","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_fee","Try to build a transaction with a missing `--fee` parameter.

        Expect failure.
        "
"passed","Wed Nov 18 16:48:13 CET 2020","Wed Nov 18 16:54:42 CET 2020","388439","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_pool_id","Submit registration certificate and delegate to pool using pool id.

        * register stake address and delegate it to pool
        * check that the stake address was delegated
        "
"passed","Wed Nov 18 16:59:00 CET 2020","Wed Nov 18 16:59:06 CET 2020","5147","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[10]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 16:58:43 CET 2020","Wed Nov 18 16:58:43 CET 2020","211","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee1]","Test pool registration fees."
"passed","Wed Nov 18 16:48:34 CET 2020","Wed Nov 18 16:48:36 CET 2020","1836","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_ticker","Try to create pool metadata hash when the *ticker* value is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Wed Nov 18 16:58:46 CET 2020","Wed Nov 18 16:58:46 CET 2020","197","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected1]","Test fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Wed Nov 18 17:01:06 CET 2020","Wed Nov 18 17:01:10 CET 2020","4077","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_length_address","Try to send funds from address with invalid length (property-based test).

        Expect failure.
        "
"passed","Wed Nov 18 16:59:59 CET 2020","Wed Nov 18 17:00:08 CET 2020","9560","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[100000]","Test 1 transaction from 10 payment addresses to 1 payment address.

        * send funds from 10 source addresses to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 16:58:50 CET 2020","Wed Nov 18 16:58:51 CET 2020","1467","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected3]","Test fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Wed Nov 18 16:59:26 CET 2020","Wed Nov 18 17:00:03 CET 2020","36668","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_10_transactions","Send 10 transactions to payment address.

        * send funds from 1 source address to 1 destination address in 10 separate transactions
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 19:58:32 CET 2020","Wed Nov 18 20:31:17 CET 2020","1965141","cardano_node_tests.tests","test_staking","TestRewards","","","test_reward_addr_delegation","Check that the rewards address can be delegated and receive rewards.

        Tests https://github.com/input-output-hk/cardano-node/issues/1964

        The pool has a reward address that is different from pool owner's stake address.

        Collect data for pool owner for 10 epochs and:

        * delegate reward address to stake pool
        * deregister pool owner's stake address
        * each epoch check ledger state (expected data in `_pstake*`, delegation, stake amount)
        * each epoch check received reward with reward in ledger state
        * check that reward address still receives rewards for its staked amount even after
          the pool owner's stake address is deregistered
        "
"passed","Wed Nov 18 16:58:56 CET 2020","Wed Nov 18 16:59:01 CET 2020","4932","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[1]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 17:00:53 CET 2020","Wed Nov 18 17:01:00 CET 2020","7063","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_wrong_balance","Build a transaction with unbalanced change (property-based test).

        * build a not balanced transaction
        * check that it is not possible to submit such transaction
        "
"passed","Wed Nov 18 22:12:11 CET 2020","Wed Nov 18 22:12:16 CET 2020","5378","cardano_node_tests.tests","test_multisig","TestNegative","","","test_multisig_all_missing_skey","Try to send funds from script address using the *all* script, omit one skey.

        Expect failure.
        "
"passed","Wed Nov 18 22:33:49 CET 2020","Wed Nov 18 22:34:19 CET 2020","30044","cardano_node_tests.tests","test_multisig","TestBasic","","","test_multisig_atleast","Send funds to and from script address using the *atLeast* script."
"passed","Wed Nov 18 16:58:18 CET 2020","Wed Nov 18 16:58:21 CET 2020","2570","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000]","Send a transaction with fee that is same or higher than expected."
"passed","Wed Nov 18 16:45:21 CET 2020","Wed Nov 18 16:58:07 CET 2020","766680","cardano_node_tests.tests","test_pools","TestStakePool","","","test_cancel_stake_pool_deregistration","Reregister a stake pool that is in course of being retired.

        * deregister stake pool in epoch + 2
        * reregister the pool by resubmitting the pool registration certificate
        * delegate stake address to pool again (the address is already registered)
        * check that no additional pool deposit was used
        * check that pool is still correctly setup
        * check that the stake addresses is still delegated
        "
"passed","Wed Nov 18 17:01:16 CET 2020","Wed Nov 18 17:01:16 CET 2020","55","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_wrong_json_metadata_format","Try to build a transaction with wrong fromat of metadata JSON.

        The metadata file is a valid JSON, but not in a format that is expected.
        "
"passed","Wed Nov 18 22:36:59 CET 2020","Wed Nov 18 22:36:59 CET 2020","199","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_missing_payment_skey","Try to register pool using transaction with missing payment skey.

        Expect failure.
        "
"passed","Wed Nov 18 16:59:01 CET 2020","Wed Nov 18 16:59:06 CET 2020","5149","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[200]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 16:59:11 CET 2020","Wed Nov 18 16:59:13 CET 2020","2785","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_all_funds","Send ALL funds from one payment address to another.

        * send all available funds from 1 source address to 1 destination address
        * check expected balance for destination addresses
        * check that balance for source address is 0 Lovelace
        "
"passed","Wed Nov 18 17:00:58 CET 2020","Wed Nov 18 17:01:04 CET 2020","5513","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_length_address","Try to send funds from payment address to address with invalid length.

        Expect failure. Property-based test.
        "
"passed","Wed Nov 18 16:48:26 CET 2020","Wed Nov 18 16:48:26 CET 2020","168","cardano_node_tests.tests","test_staking","TestNegative","","","test_register_addr_with_wrong_key","Try to register stake address using wrong payment skey.

        Expect failure.
        "
"passed","Wed Nov 18 16:59:38 CET 2020","Wed Nov 18 16:59:46 CET 2020","7622","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[1]","Test 1 transaction from 10 payment addresses to 1 payment address.

        * send funds from 10 source addresses to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 17:01:16 CET 2020","Wed Nov 18 17:01:16 CET 2020","43","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_invalid_json_metadata","Try to build a transaction with invalid metadata JSON.

        The metadata file is an invalid JSON.
        "
"passed","Wed Nov 18 16:58:43 CET 2020","Wed Nov 18 16:58:43 CET 2020","156","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_registration_fees[addr_fee0]","Test pool registration fees."
"passed","Wed Nov 18 16:58:31 CET 2020","Wed Nov 18 16:58:31 CET 2020","14","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_description","Try to create pool metadata hash when missing the *description* key.

        Expect failure.
        "
"passed","Wed Nov 18 16:58:46 CET 2020","Wed Nov 18 16:58:47 CET 2020","198","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected2]","Test fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Wed Nov 18 16:59:24 CET 2020","Wed Nov 18 16:59:31 CET 2020","7288","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[1]","Test 1 transaction from 1 payment address to 10 payment addresses.

        * send funds from 1 source address to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 18 16:48:06 CET 2020","Wed Nov 18 16:48:06 CET 2020","200","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_missing_cold_skey","Try to register pool using transaction with missing Cold skey.

        Expect failure.
        "
"passed","Wed Nov 18 16:58:48 CET 2020","Wed Nov 18 16:58:48 CET 2020","126","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee0]","Test pool deregistration fees."
"passed","Wed Nov 18 16:58:44 CET 2020","Wed Nov 18 16:58:44 CET 2020","128","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee3]","Test pool deregistration fees."
"passed","Wed Nov 18 16:58:49 CET 2020","Wed Nov 18 16:58:51 CET 2020","1477","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected1]","Test fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Wed Nov 18 16:58:47 CET 2020","Wed Nov 18 16:58:47 CET 2020","194","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected0]","Test fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Wed Nov 18 16:45:16 CET 2020","Wed Nov 18 16:45:21 CET 2020","5011","cardano_node_tests.tests","test_multisig","TestNegative","","","test_normal_tx_from_script_addr","Try to send funds from script address using TX signed with skeys.

        Sending funds from script address is expected to fail when not using witness files.
        "
"passed","Wed Nov 18 19:21:51 CET 2020","Wed Nov 18 19:58:31 CET 2020","2199580","cardano_node_tests.tests","test_staking","TestRewards","","","test_deregister_reward_addr_retire_pool","Test deregistering reward address and retiring stake pool.

        The pool deposit is lost when reward address is deregistered before the pool is retired.

        * wait for first reward for the pool
        * withdraw pool rewards to payment address
        * deregister the pool reward address
        * check that the key deposit was returned
        * check that pool owner is NOT receiving rewards
        * deregister stake pool
        * check that the pool deposit was NOT returned to reward or stake address
        * return the pool to the original state - reregister the pool, register
          the reward address, delegate the stake address to the pool
        * check that pool deposit was needed
        * check that pool owner is receiving rewards
        "
"passed","Wed Nov 18 16:54:42 CET 2020","Wed Nov 18 16:54:47 CET 2020","4601","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_vkey","Submit registration certificate and delegate to pool using cold vkey.

        * register stake address and delegate it to pool
        * check that the stake address was delegated
        "
"passed","Wed Nov 18 16:58:45 CET 2020","Wed Nov 18 16:58:46 CET 2020","71","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected0]","Test fees for 1 tx from 1 payment address to 1 payment address."
"passed","Wed Nov 18 17:00:53 CET 2020","Wed Nov 18 17:00:53 CET 2020","44","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_reward_address","Try to send funds from payment address to stake address.

        Expect failure.
        "
"passed","Wed Nov 18 17:00:48 CET 2020","Wed Nov 18 17:00:48 CET 2020","129","cardano_node_tests.tests","test_transactions","TestNegative","","","test_past_ttl","Try to send a transaction with ttl in the past.

        Expect failure.
        "
"passed","Wed Nov 18 16:48:26 CET 2020","Wed Nov 18 16:48:26 CET 2020","14","cardano_node_tests.tests","test_staking","TestNegative","","","test_delegation_cert_with_wrong_key","Try to generate stake address delegation certificate using wrong stake vkey.

        Expect failure.
        "
