"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 25 21:19:49 CET 2020","Wed Nov 25 21:47:39 CET 2020","1670220","cardano_node_tests.tests","test_staking","TestRewards","","","test_decreasing_reward_transfered_funds","Check that rewards are gradually decreasing when funds are being transfered.

        Even though nothing is staked and rewards are being transfered from reward address, there
        are still some funds staked on the reward address at the time ledger snapshot is taken. For
        that reason the reward amount received every epoch is gradually decreasing over the period
        of several epochs until it is finally 0.

        * delegate stake address
        * wait for first reward
        * transfer all funds from payment address back to faucet, so no funds are staked
        * keep withdrawing new rewards so reward ballance is 0
        * check that reward amount is decreasing epoch after epoch
        "
"passed","Wed Nov 25 21:42:25 CET 2020","Wed Nov 25 21:42:25 CET 2020","110","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_tx_in","Try to build a transaction with a missing `--tx-in` parameter.

        Expect failure.
        "
"passed","Wed Nov 25 21:38:56 CET 2020","Wed Nov 25 21:39:36 CET 2020","39905","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_10_transactions","Send 10 transactions to payment address.

        * send funds from 1 source address to 1 destination address in 10 separate transactions
        * check expected balances for both source and destination addresses
        "
"passed","Wed Nov 25 21:38:08 CET 2020","Wed Nov 25 21:38:08 CET 2020","221","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected0]","Test fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Wed Nov 25 21:38:08 CET 2020","Wed Nov 25 21:38:08 CET 2020","220","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_10_addrs_fees[amount_expected1]","Test fees for 1 tx from 10 payment addresses to 1 payment address."
"passed","Wed Nov 25 21:38:07 CET 2020","Wed Nov 25 21:38:07 CET 2020","78","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected2]","Test fees for 1 tx from 1 payment address to 1 payment address."
"passed","Wed Nov 25 21:35:49 CET 2020","Wed Nov 25 21:46:19 CET 2020","629471","cardano_node_tests.tests","test_pools","TestStakePool","","","test_pool_registration_deregistration","Send both pool registration and deregistration certificates in single TX.

        * create pool registration cert
        * create pool deregistration cert
        * register and deregister stake pool in single TX
        * check that the pool deposit was NOT returned to reward account as the reward address
          is not registered (deposit is lost)
        "
"passed","Wed Nov 25 21:38:11 CET 2020","Wed Nov 25 21:38:12 CET 2020","1625","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected1]","Test fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Wed Nov 25 21:37:29 CET 2020","Wed Nov 25 21:37:29 CET 2020","155","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[1.5]","Try to send a transaction with smaller-than-expected fee.

        Expect failure.
        "
"passed","Wed Nov 25 21:38:05 CET 2020","Wed Nov 25 21:38:05 CET 2020","93","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_addr_registration_fees[addr_fee0]","Test stake address registration fees."
"passed","Wed Nov 25 21:36:28 CET 2020","Wed Nov 25 21:37:10 CET 2020","41689","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_homepage","Try to create pool metadata hash when the *homepage* value is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Wed Nov 25 21:37:29 CET 2020","Wed Nov 25 21:37:29 CET 2020","158","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[1.1]","Try to send a transaction with smaller-than-expected fee.

        Expect failure.
        "
"passed","Wed Nov 25 21:38:07 CET 2020","Wed Nov 25 21:38:07 CET 2020","79","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_1_addr_fees[amount_expected0]","Test fees for 1 tx from 1 payment address to 10 payment addresses."
"passed","Wed Nov 25 21:37:10 CET 2020","Wed Nov 25 21:37:13 CET 2020","2821","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_long_metadata_url","Try to create pool registration cert when the *metadata-url* is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Wed Nov 25 21:38:09 CET 2020","Wed Nov 25 21:38:09 CET 2020","221","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_10_addrs_from_10_addrs_fees[amount_expected2]","Test fees for 1 tx from 10 payment addresses to 10 payment addresses."
"passed","Wed Nov 25 21:41:39 CET 2020","Wed Nov 25 21:41:47 CET 2020","7951","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_wrong_balance","Build a transaction with unbalanced change (property-based test).

        * build a not balanced transaction
        * check that it is not possible to submit such transaction
        "
"passed","Wed Nov 25 21:38:05 CET 2020","Wed Nov 25 21:38:05 CET 2020","140","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_pool_deregistration_fees[addr_fee2]","Test pool deregistration fees."
"passed","Wed Nov 25 21:39:13 CET 2020","Wed Nov 25 21:42:30 CET 2020","197069","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[1]","Update stake pool metadata.

        * register pool
        * update the pool metadata by resubmitting the pool registration certificate
        * check that the pool metadata hash was correctly updated on chain
        "
"passed","Wed Nov 25 21:38:14 CET 2020","Wed Nov 25 21:38:16 CET 2020","1621","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_100_addrs_from_100_addrs_fees[amount_expected3]","Test fees for 1 tx from 100 payment addresses to 100 payment addresses."
"passed","Wed Nov 25 21:41:56 CET 2020","Wed Nov 25 21:41:56 CET 2020","47","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_reward_address","Try to send funds from payment address to stake address.

        Expect failure.
        "
"passed","Wed Nov 25 21:30:34 CET 2020","Wed Nov 25 21:32:29 CET 2020","115493","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_parameters[2]","Update stake pool parameters.

        * register pool
        * update the pool parameters by resubmitting the pool registration certificate
        * check that the pool parameters were correctly updated on chain
        "
"passed","Wed Nov 25 21:39:46 CET 2020","Wed Nov 25 21:39:52 CET 2020","5891","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[11000]","Test 1 transaction from 1 payment address to 10 payment addresses.

        * send funds from 1 source address to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
